专业代号及名称,院校代号及名称,投档计划数,投档最低位次
38材料科学与工程,A704西安科技大学,2,54542
24听力与言语康复学,A344浙江中医药大学,2,54545
41新能源材料与器件,A704西安科技大学,2,54547
0V翻译,A621成都信息工程大学,2,54560
02法学,A118山西师范大学,2,54571
12环境科学,A703西安建筑科技大学,2,54582
02金融学,A378安徽财经大学,3,54587
05药物制剂,A490武汉工程大学,3,54593
13兵器类,A110中北大学,20,54604
50网络与新媒体,A463河南工业大学,2,54614
16数据科学与大数据技术,A037北京物资学院,1,54623
17生物技术,A500湖北工业大学,3,54629
FW法学(卓越法治基地实验班政府法治方向),B406甘肃政法大学,2,54654
59建筑学,A214哈尔滨理工大学,2,54655
23小学教育(师范类),E275浙江外国语学院,2,54656
0M生态学,A755新疆大学,8,54659
05应用化学,A144沈阳理工大学,1,54661
56物理学(师范类),A736西北师范大学,2,54678
07城市地下空间工程,A703西安建筑科技大学,3,54684
30动物医学,A743青海大学,7,54696
83中医学,B075三峡大学,2,54705
36化学工程与工艺(卓越工程师),A743青海大学,4,54714
16医学检验技术,A632西南医科大学,2,54742
19审计学,B560西安财经大学,4,54749
37日语,A304南通大学,2,54761
01服装设计与工程,A012北京服装学院,4,54766
08核物理,A555南华大学,2,54793
16建筑学(中外合作办学),F301宁波诺丁汉大学,3,54794
D0能源与动力工程,A292常州大学,2,54798
01会计学,A207吉林财经大学,5,54799
0L工业工程,A143沈阳航空航天大学,1,54800
0F卫生检验与检疫,A392福建医科大学,2,54812
17机器人工程,A674昆明理工大学,3,54835
51艺术管理,A331南京艺术学院,1,54840
59市场营销(数字营销),A421江西财经大学,2,54848
21安全工程,A150大连交通大学,2,54852
29土地资源管理(评估与规划),A421江西财经大学,3,54867
0X统计学,A636四川师范大学,2,54888
25通信工程,A534湖南科技大学,2,54898
YU通信工程(中外合作办学),A184延边大学,5,54901
36地理信息科学,A704西安科技大学,3,54917
30教育学类(师范类),A513湖北师范大学,2,54936
