专业代号及名称,院校代号及名称,投档计划数,投档最低位次
12海事管理,A151大连海事大学,6,23272
F0行政管理,A542湖南师范大学,4,23306
61工商管理类,B413中国矿业大学(北京),11,23358
33体育经济与管理,A043北京体育大学,3,23426
42信息管理与信息系统,A307南京农业大学,4,23575
4A工商管理,A403南昌大学,4,23783
08人力资源管理,A574华南师范大学,4,23896
0B工商管理类,A359合肥工业大学,7,23905
73物流管理与工程类,A613西南交通大学,3,24139
C2文化产业管理,A542湖南师范大学,4,24246
17大数据管理与应用,A026北京中医药大学,7,24256
2M公共管理类,A026北京中医药大学,5,24314
1B财务管理,B287南京审计大学,2,24327
06工商管理类,B646宁波大学,1,24330
30工商管理(实验班),A038首都经济贸易大学,4,24379
1B工商管理类,A357安徽大学,10,24380
36公共管理类,A710长安大学,2,24554
09工商管理类,A710长安大学,6,24609
20公共管理类,A307南京农业大学,12,24641
0R工商管理类,A327南京财经大学,3,24682
05旅游管理类,A459郑州大学,2,24685
0K公共管理类,A079华北电力大学(保定),3,24819
59工商管理类,A613西南交通大学,18,24827
05交通管理(国航),A254上海海事大学,2,25211
16工商管理类,A307南京农业大学,8,25213
44公共管理类,A403南昌大学,4,25293
0E公共管理类,A290中国矿业大学,10,25340
35农林经济管理(中外合作办学),A019中国农业大学,5,25350
R7土地资源管理,A542湖南师范大学,2,25438
06管理科学与工程类,A079华北电力大学(保定),7,25519
53工商管理类,A504华中农业大学,10,25592
N3工程管理,A294河海大学,2,25723
12公共管理类,A080河北工业大学,2,25768
37管理科学与工程类,A697西北大学,4,25770
48野生动物与自然保护区管理(森林康养方向),A022北京林业大学,3,25847
15物流管理,A151大连海事大学,4,26035
35公共事业管理,A043北京体育大学,2,26043
25工商管理类,A173东北财经大学,2,26110
58公共管理类,A504华中农业大学,7,26170
39公共事业管理,A019中国农业大学,80,26298
0B工商管理类,A217哈尔滨工程大学,8,26385
1W行政管理,A673云南大学,2,26402
ZC管理科学与工程类,A151大连海事大学,5,26476
45管理科学与工程类,A425中国石油大学(华东),32,26501
0T工商管理类,A290中国矿业大学,48,26548
A0工商管理类,A298南京林业大学,2,26644
1H行政管理,A112太原理工大学,3,26658
36旅游管理,A043北京体育大学,2,26928
H4信息管理与信息系统(中外合作办学)(信息系统与数据管理方向),A651西南财经大学,5,26947
45物流管理与工程类,A497武汉理工大学,10,26958
10管理科学与工程类,A710长安大学,3,26962
0V工程管理,A080河北工业大学,2,26985
22艺术管理(演出制作),A048中央戏剧学院,2,27367
26艺术管理(影视制片),A048中央戏剧学院,3,27399
24工商管理类,A726西北政法大学,5,27540
2R财务管理,A070天津财经大学,2,27566
5B管理科学与工程类,A504华中农业大学,6,27571
01公共管理类,A038首都经济贸易大学,4,27604
0M公共管理类(社工),A079华北电力大学(保定),3,27658
50财务管理,A421江西财经大学,2,27794
05经济管理试验班,A252上海理工大学,6,28074
48工商管理类,A300南京信息工程大学,4,28152
65农林经济管理,A626四川农业大学,3,28278
16图书情报与档案管理类,A459郑州大学,8,28357
17物流管理(航空物流),A112太原理工大学,2,28571
07信息管理与信息系统,B646宁波大学,2,28735
30信用风险管理与法律防控,A530湘潭大学,4,28825
53土地资源管理,A626四川农业大学,3,29036
14旅游管理,A574华南师范大学,4,29261
42工商管理类,A058天津工业大学,4,29343
4E工商管理(中法实验班),A403南昌大学,2,29358
16供应链管理,A151大连海事大学,4,29405
13管理科学与工程类,A336杭州电子科技大学,4,29448
3S工商管理,A589海南大学,6,29779
23艺术管理(剧院管理),A048中央戏剧学院,2,29786
56工商管理类,A657贵州大学,3,29811
0N工商管理,A327南京财经大学,3,29955
0V物流管理,H359合肥工业大学(宣城校区),4,30023
05工商管理类(财会类),B482浙江财经大学,6,30027
2G物流管理,A112太原理工大学,4,30033
17大数据管理与应用,A617重庆邮电大学,2,30035
3L行政管理,A589海南大学,2,30115
57工商管理类,A353浙江工商大学,4,30202
20艺术管理,A278上海音乐学院,2,30522
65大数据管理与应用(中外合作办学),A701西安电子科技大学,15,30731
0W工商管理,B287南京审计大学,3,30755
23行政管理,A530湘潭大学,3,30845
21人力资源管理,A626四川农业大学,3,31075
85公共事业管理,H635西南大学(荣昌校区),5,31107
0M大数据管理与应用,A327南京财经大学,4,31285
H6物流管理(中外合作办学)(运营管理与商务分析方向),A651西南财经大学,3,31447
6B交通运输(中外合作办学)(机场运行与管理),A287南京航空航天大学,6,31495
43管理科学与工程类,A058天津工业大学,3,31533
81信息管理与信息系统,H635西南大学(荣昌校区),6,31716
33行政管理,A224东北农业大学,5,31762
08工商管理(智能商务),A421江西财经大学,2,32218
D3工程管理(全国人防建筑施工组织管理与监理工程师),P004陆军工程大学,1,32235
4D信息管理与信息系统,A126内蒙古大学,1,32441
40管理科学与工程类,A459郑州大学,7,32458
16质量管理工程,A356中国计量大学,2,32541
35公共管理类,A173东北财经大学,1,32609
D3大数据管理与应用,A060天津理工大学,3,32612
1R土地资源管理,A126内蒙古大学,1,32625
78工商管理类,A345浙江师范大学,3,32746
13人力资源管理,A299江苏大学,2,32753
1U工商管理类,A673云南大学,21,32798
