专业,院校名称,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质
学前教育(师范类),西北师范大学,none,none,none,none,none,none,2,539,"75,583",省重点,none,公办
英语(师范类),西北师范大学,none,none,none,none,none,none,4,556,"51,715",省重点,none,公办
哲学,西北师范大学,3,569,"55,411",2,556,"53,810",none,none,none,省重点,none,公办
制药工程,西北师范大学,none,none,none,none,none,none,2,538,"76,319",省重点,none,公办
电子商务及法律,西北政法大学,2,614,"17,985",2,598,"17,924",2,592,"20,003",none,none,公办
法学(反恐怖主义法),西北政法大学,1,615,"17,707",1,601,"16,203",1,599,"15,770",none,none,公办
法学(公共安全法),西北政法大学,none,none,none,3,601,"16,396",3,599,"15,715",none,none,公办
法学(国际法),西北政法大学,3,617,"16,301",5,602,"15,839",5,600,"15,132",none,none,公办
法学(经济法),西北政法大学,6,618,"16,063",6,604,"14,796",6,602,"14,053",none,none,公办
法学(民商法),西北政法大学,7,620,"15,029",7,607,"13,011",7,605,"12,722",none,none,公办
法学(刑事法),西北政法大学,4,616,"16,897",4,602,"15,393",4,602,"14,304",none,none,公办
法学(行政法),西北政法大学,5,615,"17,371",5,602,"15,589",5,601,"14,814",none,none,公办
工商管理类,西北政法大学,none,none,none,6,584,"26,580",5,581,"27,540",none,none,公办
国际政治,西北政法大学,1,610,"20,036",1,593,"20,978",1,587,"23,087",none,none,公办
经济学类,西北政法大学,none,none,none,9,586,"25,198",9,582,"26,616",none,none,公办
社会工作,西北政法大学,1,602,"25,397",none,none,none,1,585,"24,627",none,none,公办
社会学,西北政法大学,1,611,"20,028",1,591,"21,789",none,none,none,none,none,公办
网络与新媒体,西北政法大学,1,605,"23,348",1,590,"22,752",1,587,"23,261",none,none,公办
新闻学,西北政法大学,1,615,"17,769",1,597,"18,606",1,593,"19,483",none,none,公办
行政管理,西北政法大学,1,603,"24,671",1,587,"24,945",1,589,"21,630",none,none,公办
英语,西北政法大学,1,611,"19,719",1,597,"18,595",1,589,"21,693",none,none,公办
哲学,西北政法大学,2,606,"22,550",3,594,"20,427",3,590,"21,045",none,none,公办
政治学与行政学,西北政法大学,1,609,"20,664",1,594,"20,227",2,590,"21,047",none,none,公办
财务管理,西藏大学,2,536,"102,514",none,none,none,2,537,"78,458",211,一流学科,公办
财政学,西藏大学,4,535,"105,368",3,533,"86,276",3,537,"78,205",211,一流学科,公办
城乡规划,西藏大学,2,534,"107,077",2,529,"92,847",1,544,"67,219",211,一流学科,公办
地理科学(师范类),西藏大学,none,none,none,2,541,"73,246",2,548,"62,805",211,一流学科,公办
地理信息科学,西藏大学,2,538,"99,367",2,536,"80,184",none,none,none,211,一流学科,公办
法学,西藏大学,2,538,"99,981",3,548,"63,752",4,544,"67,414",211,一流学科,公办
工商管理,西藏大学,none,none,none,2,530,"91,099",2,536,"79,806",211,一流学科,公办
公共事业管理,西藏大学,2,535,"105,253",2,531,"89,093",none,none,none,211,一流学科,公办
汉语言文学,西藏大学,1,557,"71,641",2,550,"60,887",3,549,"61,272",211,一流学科,公办
汉语言文学(师范类),西藏大学,none,none,none,2,535,"83,117",2,549,"61,161",211,一流学科,公办
护理学,西藏大学,3,524,"123,954",3,523,"103,434",4,523,"102,528",211,一流学科,公办
化学(师范类),西藏大学,none,none,none,3,529,"93,063",3,535,"80,713",211,一流学科,公办
会计学,西藏大学,3,544,"90,429",4,537,"79,775",4,537,"77,859",211,一流学科,公办
计算机科学与技术,西藏大学,6,542,"93,119",5,535,"81,724",7,541,"71,441",211,一流学科,公办
建筑学,西藏大学,2,526,"119,681",4,530,"91,373",2,535,"80,797",211,一流学科,公办
交通运输,西藏大学,3,538,"99,934",3,528,"94,105",3,535,"81,817",211,一流学科,公办
经济学,西藏大学,3,545,"88,128",4,543,"70,567",5,540,"73,922",211,一流学科,公办
口腔医学,西藏大学,none,none,none,1,544,"69,396",1,568,"39,000",211,一流学科,公办
临床医学,西藏大学,3,543,"91,174",3,538,"77,531",1,556,"51,814",211,一流学科,公办
旅游管理,西藏大学,3,534,"107,180",3,530,"89,990",2,528,"93,231",211,一流学科,公办
生态学,西藏大学,2,547,"84,794",2,540,"74,143",2,542,"69,909",211,一流学科,公办
生物科学(师范类),西藏大学,none,none,none,2,531,"89,436",2,538,"76,295",211,一流学科,公办
市场营销,西藏大学,none,none,none,none,none,none,2,530,"89,466",211,一流学科,公办
数学与应用数学(师范类),西藏大学,none,none,none,5,528,"94,001",5,526,"95,844",211,一流学科,公办
思想政治教育(师范类),西藏大学,none,none,none,3,535,"82,408",3,542,"71,291",211,一流学科,公办
通信工程,西藏大学,3,539,"98,201",3,531,"88,960",3,539,"74,706",211,一流学科,公办
土木工程,西藏大学,3,533,"108,102",3,527,"96,638",4,529,"90,799",211,一流学科,公办
物理学(师范类),西藏大学,none,none,none,4,521,"106,395",3,525,"98,299",211,一流学科,公办
信息工程,西藏大学,none,none,none,2,529,"92,630",none,none,none,211,一流学科,公办
行政管理,西藏大学,3,538,"100,371",2,532,"86,770",2,541,"72,327",211,一流学科,公办
学前教育(师范类),西藏大学,none,none,none,none,none,none,2,525,"98,553",211,一流学科,公办
药学,西藏大学,none,none,none,4,526,"98,561",3,529,"90,886",211,一流学科,公办
应用物理学,西藏大学,none,none,none,none,none,none,2,537,"77,710",211,一流学科,公办
预防医学,西藏大学,3,533,"107,616",2,528,"94,213",3,531,"88,267",211,一流学科,公办
政治学与行政学,西藏大学,2,543,"92,054",3,536,"81,156",none,none,none,211,一流学科,公办
资源勘查工程,西藏大学,2,529,"115,094",2,527,"96,302",2,530,"89,928",211,一流学科,公办
法学,西藏民族大学,5,507,"156,565",10,503,"143,445",7,508,"133,224",none,none,公办
汉语言文学,西藏民族大学,10,511,"148,923",5,511,"127,598",6,515,"118,746",none,none,公办
汉语言文学(师范类),西藏民族大学,none,none,none,none,none,none,4,520,"107,958",none,none,公办
会计学,西藏民族大学,10,506,"158,646",10,502,"146,210",7,504,"140,718",none,none,公办
计算机科学与技术,西藏民族大学,5,503,"163,360",10,496,"159,363",10,498,"153,237",none,none,公办
临床医学,西藏民族大学,10,524,"123,149",none,none,none,6,518,"111,218",none,none,公办
临床医学(影像诊断方向),西藏民族大学,none,none,none,none,none,none,3,514,"119,279",none,none,公办
临床医学(预防方向),西藏民族大学,none,none,none,none,none,none,3,509,"129,802",none,none,公办
旅游管理,西藏民族大学,5,499,"172,654",10,492,"167,570",none,none,none,none,none,公办
民族学,西藏民族大学,5,499,"172,182",none,none,none,5,503,"143,490",none,none,公办
民族学(涉藏外宣方向),西藏民族大学,none,none,none,2,510,"129,065",none,none,none,none,none,公办
民族学(宗教中国化方向),西藏民族大学,none,none,none,3,508,"132,948",none,none,none,none,none,公办
土木工程(建筑方向),西藏民族大学,none,none,none,5,490,"171,405",none,none,none,none,none,公办
新闻学,西藏民族大学,5,508,"153,745",5,505,"139,508",4,509,"129,933",none,none,公办
英语,西藏民族大学,5,508,"154,745",5,507,"134,298",4,507,"133,765",none,none,公办
英语(师范类),西藏民族大学,none,none,none,none,none,none,6,512,"124,593",none,none,公办
英语(英藏复语方向),西藏民族大学,none,none,none,5,496,"160,018",none,none,none,none,none,公办
哲学,西藏民族大学,5,504,"161,201",10,496,"158,448",10,502,"144,460",none,none,公办
草业科学,西藏农牧学院,3,473,"225,125",2,470,"219,020",4,467,"228,887",省重点,none,公办
电气工程及其自动化,西藏农牧学院,6,476,"219,616",4,472,"213,230",4,472,"216,091",省重点,none,公办
动物科学,西藏农牧学院,none,none,none,3,470,"218,868",4,469,"223,520",省重点,none,公办
动物医学,西藏农牧学院,4,479,"213,461",3,473,"210,781",5,470,"220,030",省重点,none,公办
给排水科学与工程,西藏农牧学院,6,473,"225,913",none,none,none,3,470,"221,707",省重点,none,公办
环境工程,西藏农牧学院,4,472,"227,629",3,470,"219,322",none,none,none,省重点,none,公办
环境科学,西藏农牧学院,none,none,none,2,469,"221,048",3,468,"225,941",省重点,none,公办
林学,西藏农牧学院,4,471,"228,747",4,470,"219,683",4,468,"226,198",省重点,none,公办
旅游管理,西藏农牧学院,none,none,none,none,none,none,2,476,"207,470",省重点,none,公办
能源与动力工程,西藏农牧学院,5,477,"216,154",5,471,"215,430",4,472,"215,839",省重点,none,公办
农村区域发展,西藏农牧学院,3,483,"205,020",2,479,"198,727",2,479,"200,266",省重点,none,公办
农林经济管理,西藏农牧学院,2,491,"187,925",2,479,"198,659",3,477,"204,964",省重点,none,公办
农学,西藏农牧学院,2,473,"224,959",3,470,"217,663",5,469,"223,322",省重点,none,公办
农业电气化,西藏农牧学院,none,none,none,4,469,"220,028",4,469,"222,901",省重点,none,公办
农业水利工程,西藏农牧学院,none,none,none,2,470,"218,356",none,none,none,省重点,none,公办
农业资源与环境,西藏农牧学院,4,469,"232,010",2,470,"219,048",4,467,"227,316",省重点,none,公办
生态学,西藏农牧学院,3,473,"224,421",4,471,"216,109",4,469,"224,017",省重点,none,公办
生物技术,西藏农牧学院,3,474,"222,264",4,471,"216,977",4,470,"219,913",省重点,none,公办
食品科学与工程,西藏农牧学院,2,471,"228,172",2,471,"216,935",2,468,"225,111",省重点,none,公办
食品质量与安全,西藏农牧学院,5,471,"228,338",2,470,"218,497",none,none,none,省重点,none,公办
水利水电工程,西藏农牧学院,none,none,none,2,472,"213,517",3,471,"218,119",省重点,none,公办
水土保持与荒漠化防治,西藏农牧学院,3,470,"230,071",2,469,"220,432",2,467,"227,490",省重点,none,公办
水文与水资源工程,西藏农牧学院,none,none,none,4,472,"214,940",none,none,none,省重点,none,公办
土木工程,西藏农牧学院,none,none,none,2,474,"210,167",none,none,none,省重点,none,公办
应用化学,西藏农牧学院,none,none,none,none,none,none,3,475,"208,902",省重点,none,公办
园林,西藏农牧学院,2,474,"223,673",2,471,"216,631",3,467,"227,210",省重点,none,公办
园艺,西藏农牧学院,6,470,"230,953",3,470,"219,097",none,none,none,省重点,none,公办
植物保护,西藏农牧学院,2,473,"224,712",2,477,"202,170",4,467,"227,552",省重点,none,公办
自然地理与资源环境,西藏农牧学院,none,none,none,1,479,"197,334",none,none,none,省重点,none,公办
汉语言文学(师范类),西昌学院,none,none,none,5,493,"165,211",5,494,"164,182",none,none,公办
土木工程,西昌学院,5,488,"193,345",5,479,"197,462",5,474,"210,543",none,none,公办
本科预科班(招收边防军人子女),西华大学,none,none,none,3,497,"157,257",6,466,"231,862",省重点,none,公办
电子商务,西华大学,none,none,none,4,545,"67,040",3,541,"71,430",省重点,none,公办
法学,西华大学,6,571,"54,196",4,556,"53,390",4,557,"50,248",省重点,none,公办
工程造价,西华大学,none,none,none,4,540,"74,550",4,536,"79,456",省重点,none,公办
工商管理,西华大学,none,none,none,6,543,"70,634",6,538,"76,629",省重点,none,公办
会计学,西华大学,4,568,"57,077",none,none,none,4,550,"59,778",省重点,none,公办
机械类,西华大学,none,none,none,8,539,"76,126",8,539,"75,660",省重点,none,公办
计算机类,西华大学,none,none,none,4,550,"60,172",4,550,"59,233",省重点,none,公办
建筑类,西华大学,none,none,none,4,539,"76,049",4,534,"82,720",省重点,none,公办
交通工程,西华大学,none,none,none,6,534,"83,982",4,535,"81,807",省重点,none,公办
审计学,西华大学,none,none,none,4,550,"60,179",none,none,none,省重点,none,公办
土木工程,西华大学,none,none,none,6,536,"81,329",6,529,"91,079",省重点,none,公办
网络与新媒体,西华大学,4,567,"58,621",none,none,none,4,548,"62,297",省重点,none,公办
物流管理,西华大学,6,552,"77,498",2,543,"70,808",2,539,"75,262",省重点,none,公办
中国语言文学类,西华大学,none,none,none,4,554,"55,971",4,551,"58,699",省重点,none,公办
自动化,西华大学,none,none,none,4,546,"66,086",4,547,"63,589",省重点,none,公办
电子信息工程,西华师范大学,4,527,"117,839",4,518,"111,823",4,517,"113,562",省重点,none,公办
工商管理类,西华师范大学,none,none,none,4,528,"94,922",none,none,none,省重点,none,公办
教育学(师范类),西华师范大学,none,none,none,9,534,"84,098",4,530,"89,365",省重点,none,公办
历史学(师范类),西华师范大学,none,none,none,10,542,"71,929",4,546,"65,525",省重点,none,公办
日语,西华师范大学,none,none,none,4,525,"99,760",none,none,none,省重点,none,公办
网络空间安全,西华师范大学,none,none,none,none,none,none,3,521,"105,230",省重点,none,公办
野生动物与自然保护区管理,西华师范大学,none,none,none,4,520,"108,944",none,none,none,省重点,none,公办
财政学类,西南财经大学,2,636,"8,477",3,618,"8,714",3,612,"9,853",211,一流学科,公办
法学,西南财经大学,1,638,"7,795",1,620,"8,088",1,618,"7,517",211,一流学科,公办
法学(法学与国商双学位),西南财经大学,none,none,none,1,623,"7,165",1,619,"7,321",211,一流学科,公办
法学(法学与会计学双学位),西南财经大学,1,643,"6,162",2,623,"7,159",2,619,"7,305",211,一流学科,公办
法学(法学与金融学双学位),西南财经大学,1,642,"6,552",1,626,"6,250",1,621,"6,823",211,一流学科,公办
工商管理类,西南财经大学,3,632,"9,962",4,613,"10,469",3,606,"12,236",211,一流学科,公办
工商管理类(会计学院),西南财经大学,none,none,none,4,624,"6,936",4,618,"7,767",211,一流学科,公办
公共管理类,西南财经大学,none,none,none,2,607,"12,954",2,601,"14,659",211,一流学科,公办
管理科学与工程类,西南财经大学,none,none,none,1,613,"10,573",none,none,none,211,一流学科,公办
汉语言文学(文创实验班),西南财经大学,none,none,none,1,608,"12,561",2,608,"11,750",211,一流学科,公办
会计学(双语实验班),西南财经大学,2,641,"6,903",2,625,"6,439",2,621,"6,745",211,一流学科,公办
会计学(中外合作办学),西南财经大学,4,609,"20,848",4,598,"18,029",4,595,"18,278",211,一流学科,公办
会计学(注册会计师专门化方向),西南财经大学,2,646,"5,510",2,629,"5,536",2,622,"6,358",211,一流学科,公办
计算机类,西南财经大学,2,634,"9,141",3,615,"9,732",4,608,"11,307",211,一流学科,公办
计算金融,西南财经大学,none,none,none,2,615,"9,768",1,610,"10,677",211,一流学科,公办
金融科技,西南财经大学,1,643,"6,234",1,628,"5,706",1,624,"5,949",211,一流学科,公办
金融数学,西南财经大学,2,639,"7,360",2,621,"7,825",1,616,"8,399",211,一流学科,公办
金融数学(中外合作办学)(金融服务与量化分析方向),西南财经大学,4,612,"18,898",3,599,"17,444",4,594,"18,581",211,一流学科,公办
金融学(经管国际化创新实验班),西南财经大学,none,none,none,1,629,"5,341",1,632,"3,942",211,一流学科,公办
金融学(双语实验班),西南财经大学,3,644,"5,939",3,627,"6,104",2,622,"6,303",211,一流学科,公办
金融学(智能金融与区块链金融),西南财经大学,1,653,"3,850",1,635,"4,019",none,none,none,211,一流学科,公办
金融学类,西南财经大学,4,643,"6,336",8,623,"7,036",5,618,"7,701",211,一流学科,公办
金融学类(保险方向),西南财经大学,none,none,none,3,618,"8,687",3,612,"9,798",211,一流学科,公办
金融学类(保险学院),西南财经大学,none,none,none,none,none,none,none,none,none,211,一流学科,公办
经济统计学,西南财经大学,3,639,"7,477",none,none,none,2,613,"9,459",211,一流学科,公办
经济学(国家经济学基础人才培养基地班),西南财经大学,3,644,"5,909",3,626,"6,198",3,620,"6,934",211,一流学科,公办
经济与贸易类,西南财经大学,3,635,"8,760",5,616,"9,509",5,609,"11,153",211,一流学科,公办
精算学,西南财经大学,2,633,"9,563",2,616,"9,406",2,612,"9,695",211,一流学科,公办
市场营销(中外合作办学)(金融服务与营销),西南财经大学,10,594,"31,498",5,581,"28,799",6,579,"28,974",211,一流学科,公办
数学与应用数学,西南财经大学,none,none,none,none,none,none,1,614,"8,978",211,一流学科,公办
数学与应用数学(经济数学方向),西南财经大学,none,none,none,none,none,none,none,none,none,211,一流学科,公办
数学与应用数学(数学与经济学双学位),西南财经大学,2,639,"7,373",2,620,"8,081",1,616,"8,382",211,一流学科,公办
数字经济,西南财经大学,none,none,none,1,618,"8,870",1,613,"9,458",211,一流学科,公办
统计学类,西南财经大学,none,none,none,none,none,none,1,620,"7,005",211,一流学科,公办
外国语言文学类,西南财经大学,3,624,"12,950",5,603,"15,258",4,596,"17,247",211,一流学科,公办
物流管理(中外合作办学)(运营管理与商务分析方向),西南财经大学,4,596,"29,933",2,582,"27,824",3,576,"31,447",211,一流学科,公办
新闻学(数字传播实验班),西南财经大学,none,none,none,1,608,"12,679",2,603,"13,851",211,一流学科,公办
信息管理与信息系统(中外合作办学)(信息系统与数据管理方向),西南财经大学,4,603,"24,815",4,587,"24,765",5,581,"26,947",211,一流学科,公办
动物科学,西南大学(荣昌校区),none,none,none,none,none,none,10,564,"43,085",211,一流学科,公办
动物生产类,西南大学(荣昌校区),11,576,"47,845",11,565,"43,754",none,none,none,211,一流学科,公办
动物医学(五年制),西南大学(荣昌校区),none,none,none,9,572,"36,821",8,569,"37,965",211,一流学科,公办
动物医学类,西南大学(荣昌校区),13,583,"41,285",4,570,"38,218",4,569,"37,569",211,一流学科,公办
公共事业管理,西南大学(荣昌校区),none,none,none,none,none,none,5,577,"31,107",211,一流学科,公办
管理科学与工程类,西南大学(荣昌校区),none,none,none,7,577,"31,797",none,none,none,211,一流学科,公办
国际经济与贸易,西南大学(荣昌校区),none,none,none,none,none,none,2,580,"28,524",211,一流学科,公办
市场营销,西南大学(荣昌校区),12,587,"36,878",12,574,"35,033",6,574,"33,383",211,一流学科,公办
水产类,西南大学(荣昌校区),8,578,"46,265",10,567,"41,330",10,564,"42,293",211,一流学科,公办
物流管理,西南大学(荣昌校区),10,582,"42,061",10,571,"37,121",5,573,"34,321",211,一流学科,公办
信息管理与信息系统,西南大学(荣昌校区),7,593,"31,902",none,none,none,6,576,"31,716",211,一流学科,公办
包装工程,西南大学,none,none,none,1,582,"27,862",1,584,"25,125",211,一流学科,公办
材料类,西南大学,3,609,"20,789",3,589,"23,402",3,581,"27,018",211,一流学科,公办
德语,西南大学,none,none,none,2,597,"18,439",1,592,"19,594",211,一流学科,公办
地理科学类,西南大学,2,616,"16,947",2,603,"15,113",3,599,"15,970",211,一流学科,公办
电气工程及其自动化,西南大学,2,614,"17,981",2,600,"16,656",2,597,"16,870",211,一流学科,公办
电子信息工程(中外合作办学),西南大学,3,591,"33,722",3,578,"31,302",3,574,"33,214",211,一流学科,公办
电子信息类,西南大学,3,617,"16,410",3,601,"16,091",3,598,"16,127",211,一流学科,公办
动物科学(中外合作办学),西南大学,7,571,"53,405",7,558,"51,141",7,559,"48,073",211,一流学科,公办
俄语,西南大学,1,610,"20,518",none,none,none,1,595,"18,027",211,一流学科,公办
法学,西南大学,2,627,"11,742",2,610,"11,670",1,609,"11,246",211,一流学科,公办
纺织类,西南大学,2,597,"29,259",1,583,"27,532",1,579,"29,067",211,一流学科,公办
风景园林,西南大学,2,614,"18,001",2,594,"20,123",2,588,"22,349",211,一流学科,公办
工商管理类,西南大学,2,618,"15,664",2,604,"14,458",2,600,"15,446",211,一流学科,公办
公共管理类,西南大学,2,616,"17,046",2,599,"17,491",2,595,"18,270",211,一流学科,公办
化学类,西南大学,3,614,"17,944",2,600,"16,504",none,none,none,211,一流学科,公办
环境科学与工程,西南大学,none,none,none,2,595,"19,568",2,590,"21,108",211,一流学科,公办
环境科学与工程类,西南大学,2,613,"18,601",none,none,none,none,none,none,211,一流学科,公办
机械类,西南大学,6,609,"20,738",6,592,"21,095",4,588,"22,068",211,一流学科,公办
计算机科学与技术,西南大学,2,620,"14,874",2,606,"13,440",2,606,"12,569",211,一流学科,公办
计算机科学与技术(中外合作办学),西南大学,8,595,"30,565",8,584,"26,382",9,577,"30,540",211,一流学科,公办
经济学(中外合作办学),西南大学,4,600,"26,944",4,585,"25,900",4,585,"24,681",211,一流学科,公办
经济学类,西南大学,2,622,"13,890",2,605,"14,221",2,601,"14,916",211,一流学科,公办
历史学,西南大学,none,none,none,2,603,"15,012",1,606,"12,623",211,一流学科,公办
农林经济管理,西南大学,none,none,none,none,none,none,1,591,"20,657",211,一流学科,公办
农业经济管理类,西南大学,2,611,"19,904",2,592,"21,245",none,none,none,211,一流学科,公办
人工智能,西南大学,none,none,none,none,none,none,2,601,"14,809",211,一流学科,公办
日语,西南大学,1,613,"18,380",2,594,"20,140",1,589,"21,677",211,一流学科,公办
软件工程,西南大学,none,none,none,2,606,"13,738",2,603,"13,615",211,一流学科,公办
软件工程(中外合作办学),西南大学,8,591,"33,992",8,581,"28,876",9,575,"32,280",211,一流学科,公办
生物技术,西南大学,2,610,"20,250",2,594,"20,350",2,593,"19,184",211,一流学科,公办
生物技术(中外合作办学),西南大学,3,585,"38,646",3,573,"35,572",3,569,"38,235",211,一流学科,公办
生物科学,西南大学,2,621,"14,521",2,602,"15,412",2,597,"16,654",211,一流学科,公办
食品科学与工程类,西南大学,3,607,"22,231",2,591,"21,705",2,587,"23,117",211,一流学科,公办
食品质量与安全(中外合作办学),西南大学,2,584,"40,362",2,571,"37,411",2,569,"37,982",211,一流学科,公办
数学类,西南大学,2,620,"14,827",3,603,"14,829",3,600,"15,110",211,一流学科,公办
思想政治教育,西南大学,2,620,"14,923",1,614,"10,403",1,610,"10,718",211,一流学科,公办
土地资源管理,西南大学,none,none,none,none,none,none,1,593,"19,122",211,一流学科,公办
土木类,西南大学,2,610,"20,199",2,590,"22,847",2,583,"25,493",211,一流学科,公办
网络工程,西南大学,1,616,"16,992",2,600,"16,500",2,597,"16,763",211,一流学科,公办
物理学,西南大学,2,615,"17,737",2,598,"17,545",2,598,"16,331",211,一流学科,公办
心理学(中外合作办学),西南大学,6,599,"27,617",6,585,"25,849",6,585,"24,618",211,一流学科,公办
新闻学,西南大学,2,619,"15,595",2,605,"14,193",2,601,"14,612",211,一流学科,公办
药学,西南大学,2,612,"19,333",2,595,"19,583",3,592,"19,564",211,一流学科,公办
药学(全英文创新实验班),西南大学,1,611,"20,000",1,593,"20,502",1,590,"21,338",211,一流学科,公办
应用化学,西南大学,none,none,none,none,none,none,2,594,"18,449",211,一流学科,公办
应用心理学,西南大学,2,635,"8,743",2,624,"6,832",1,624,"5,974",211,一流学科,公办
英语,西南大学,2,626,"12,282",3,608,"12,804",2,604,"13,468",211,一流学科,公办
园林,西南大学,none,none,none,none,none,none,1,582,"26,559",211,一流学科,公办
植物科学与技术(中外合作办学),西南大学,7,576,"48,344",7,564,"44,328",7,562,"45,057",211,一流学科,公办
植物生产类,西南大学,7,603,"24,557",6,583,"27,676",4,579,"29,182",211,一流学科,公办
制药工程,西南大学,2,609,"20,643",2,591,"21,906",2,589,"21,872",211,一流学科,公办
智能科学与技术,西南大学,6,617,"16,509",6,599,"17,030",2,597,"17,075",211,一流学科,公办
中国语言文学类,西南大学,2,623,"13,355",2,610,"11,721",2,608,"11,736",211,一流学科,公办
自动化(中外合作办学),西南大学,6,590,"34,183",6,575,"33,632",7,572,"35,425",211,一流学科,公办
自然保护与环境生态类,西南大学,1,612,"18,876",1,593,"20,564",none,none,none,211,一流学科,公办
安全工程,西南交通大学,4,613,"18,598",4,593,"20,793",3,589,"21,451",211,一流学科,公办
安全工程(中外合作办学),西南交通大学,none,none,none,none,none,none,4,563,"44,102",211,一流学科,公办
安全科学与工程类(中外合作办学),西南交通大学,2,579,"44,677",3,567,"41,568",none,none,none,211,一流学科,公办
材料类,西南交通大学,19,609,"20,681",19,588,"24,071",19,582,"26,388",211,一流学科,公办
测绘类,西南交通大学,13,608,"21,653",13,587,"24,869",12,583,"25,509",211,一流学科,公办
车辆工程,西南交通大学,10,617,"16,282",5,600,"16,441",5,597,"17,049",211,一流学科,公办
城市地下空间工程,西南交通大学,none,none,none,2,589,"23,250",2,587,"22,760",211,一流学科,公办
城市设计,西南交通大学,none,none,none,1,595,"19,426",1,592,"19,640",211,一流学科,公办
地质工程,西南交通大学,6,609,"20,899",6,584,"26,402",6,580,"28,019",211,一流学科,公办
电气工程及其自动化,西南交通大学,12,621,"14,474",12,605,"14,188",15,603,"13,739",211,一流学科,公办
电气工程与智能控制,西南交通大学,none,none,none,1,606,"13,466",none,none,none,211,一流学科,公办
电子信息工程,西南交通大学,10,620,"15,052",10,604,"14,670",9,602,"14,214",211,一流学科,公办
电子信息工程(中外合作办学),西南交通大学,none,none,none,none,none,none,5,576,"31,618",211,一流学科,公办
电子信息科学与技术,西南交通大学,11,618,"15,968",11,602,"15,423",3,601,"14,538",211,一流学科,公办
电子信息类,西南交通大学,5,621,"14,351",5,605,"14,168",3,602,"13,979",211,一流学科,公办
电子信息类(中外合作办学),西南交通大学,3,600,"26,540",3,583,"27,087",none,none,none,211,一流学科,公办
法学,西南交通大学,1,621,"14,386",2,605,"13,912",1,603,"13,742",211,一流学科,公办
飞行器设计与工程,西南交通大学,2,615,"17,319",1,599,"17,346",3,596,"17,477",211,一流学科,公办
工程力学,西南交通大学,10,611,"19,622",10,592,"21,232",3,589,"21,839",211,一流学科,公办
工商管理类,西南交通大学,18,611,"19,633",18,590,"22,380",18,584,"24,827",211,一流学科,公办
公共事业管理,西南交通大学,2,611,"19,502",3,594,"20,400",2,589,"21,970",211,一流学科,公办
轨道交通信号与控制,西南交通大学,6,619,"15,520",6,602,"15,708",4,598,"16,098",211,一流学科,公办
汉语国际教育,西南交通大学,3,609,"21,203",1,594,"20,397",1,595,"18,105",211,一流学科,公办
汉语言文学,西南交通大学,1,618,"15,921",1,603,"14,876",3,601,"14,917",211,一流学科,公办
环境工程(中外合作办学),西南交通大学,none,none,none,none,none,none,4,560,"47,568",211,一流学科,公办
环境科学与工程类,西南交通大学,10,608,"21,654",10,586,"25,288",7,580,"28,185",211,一流学科,公办
机械类,西南交通大学,19,614,"18,144",12,596,"18,941",14,591,"20,163",211,一流学科,公办
机械类(中外合作办学),西南交通大学,4,595,"30,328",3,576,"32,971",none,none,none,211,一流学科,公办
机械设计制造及其自动化(中外合作办学),西南交通大学,none,none,none,none,none,none,5,572,"35,096",211,一流学科,公办
计算机科学与技术(中外合作办学),西南交通大学,none,none,none,none,none,none,5,581,"27,201",211,一流学科,公办
计算机类,西南交通大学,2,649,"4,851",2,629,"5,316",4,623,"6,205",211,一流学科,公办
计算机类(中外合作办学),西南交通大学,4,602,"25,214",3,589,"23,577",none,none,none,211,一流学科,公办
建筑类,西南交通大学,4,615,"17,331",4,598,"17,802",4,592,"19,558",211,一流学科,公办
建筑学,西南交通大学,4,624,"12,957",4,605,"13,879",4,598,"16,165",211,一流学科,公办
交通设备与控制工程,西南交通大学,none,none,none,4,598,"17,630",none,none,none,211,一流学科,公办
交通运输类,西南交通大学,11,620,"15,111",11,602,"15,737",8,600,"15,214",211,一流学科,公办
经济与贸易类,西南交通大学,3,616,"16,901",3,600,"16,692",3,595,"17,968",211,一流学科,公办
能源动力类,西南交通大学,1,617,"16,208",1,599,"17,238",3,595,"18,182",211,一流学科,公办
人工智能,西南交通大学,3,625,"12,580",3,608,"12,692",5,605,"12,861",211,一流学科,公办
生物工程,西南交通大学,10,609,"21,233",10,589,"23,135",4,586,"23,750",211,一流学科,公办
生物工程(中外合作办学),西南交通大学,none,none,none,none,none,none,4,565,"42,221",211,一流学科,公办
生物工程类(中外合作办学),西南交通大学,none,none,none,4,568,"40,151",none,none,none,211,一流学科,公办
生物医学工程,西南交通大学,2,611,"19,839",2,595,"19,809",2,591,"20,259",211,一流学科,公办
数据科学与大数据技术,西南交通大学,1,624,"13,229",1,607,"13,064",1,608,"11,526",211,一流学科,公办
数学与应用数学,西南交通大学,2,623,"13,537",2,604,"14,508",2,601,"14,886",211,一流学科,公办
思想政治教育,西南交通大学,none,none,none,1,600,"16,751",none,none,none,211,一流学科,公办
通信工程,西南交通大学,4,622,"13,756",8,605,"14,144",6,603,"13,830",211,一流学科,公办
统计学,西南交通大学,4,617,"16,388",4,598,"17,578",4,596,"17,397",211,一流学科,公办
土木工程,西南交通大学,20,611,"19,509",15,594,"20,059",13,588,"22,210",211,一流学科,公办
