专业,院校名称,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质
计算机类,安徽工业大学,8,561,"66,255",14,547,"64,470",11,546,"65,172",省重点,none,公办
建筑环境与能源应用工程,安徽工业大学,2,538,"99,798",2,524,"101,357",2,517,"113,004",省重点,none,公办
建筑学,安徽工业大学,2,555,"74,182",2,543,"70,277",2,538,"76,136",省重点,none,公办
金融学,安徽工业大学,2,561,"65,380",2,547,"65,143",2,542,"70,151",省重点,none,公办
金属材料工程,安徽工业大学,none,none,none,2,514,"120,312",2,511,"126,711",省重点,none,公办
经济统计学,安徽工业大学,2,554,"74,791",2,541,"72,588",2,537,"77,831",省重点,none,公办
经济学,安徽工业大学,none,none,none,2,538,"78,381",2,537,"77,732",省重点,none,公办
经济与金融,安徽工业大学,2,559,"68,753",2,545,"66,793",2,541,"72,278",省重点,none,公办
能源与动力工程,安徽工业大学,2,550,"80,493",3,535,"81,675",3,533,"84,309",省重点,none,公办
人工智能,安徽工业大学,2,553,"76,709",2,542,"71,968",2,542,"69,944",省重点,none,公办
人力资源管理,安徽工业大学,none,none,none,2,538,"77,954",2,535,"81,638",省重点,none,公办
数据科学与大数据技术,安徽工业大学,2,559,"67,877",2,545,"67,480",2,544,"67,330",省重点,none,公办
数学与应用数学,安徽工业大学,2,554,"74,800",3,541,"73,373",3,538,"76,437",省重点,none,公办
通信工程,安徽工业大学,2,554,"75,140",2,540,"73,942",2,542,"70,350",省重点,none,公办
土木工程,安徽工业大学,2,552,"78,271",5,536,"81,061",5,531,"87,890",省重点,none,公办
外国语言文学类,安徽工业大学,1,544,"90,122",4,534,"84,782",4,531,"88,839",省重点,none,公办
微电子科学与工程,安徽工业大学,none,none,none,2,539,"75,587",2,539,"75,562",省重点,none,公办
无机非金属材料工程,安徽工业大学,2,547,"85,147",none,none,none,none,none,none,省重点,none,公办
物联网工程,安徽工业大学,none,none,none,none,none,none,2,546,"65,435",省重点,none,公办
新能源科学与工程,安徽工业大学,none,none,none,none,none,none,2,533,"84,195",省重点,none,公办
信息管理与信息系统,安徽工业大学,2,552,"77,797",4,539,"76,409",4,535,"81,151",省重点,none,公办
行政管理,安徽工业大学,none,none,none,1,530,"90,494",1,531,"87,750",省重点,none,公办
冶金工程,安徽工业大学,8,532,"110,198",5,518,"112,100",4,510,"128,412",省重点,none,公办
应用化学,安徽工业大学,2,546,"86,992",2,531,"88,693",2,528,"93,138",省重点,none,公办
自动化,安徽工业大学,3,558,"69,512",4,544,"68,802",3,542,"70,556",省重点,none,公办
安全工程,安徽建筑大学,2,530,"112,942",2,516,"116,975",2,514,"120,267",省重点,none,公办
财务管理,安徽建筑大学,2,549,"82,983",2,536,"80,701",2,534,"83,385",省重点,none,公办
测绘工程,安徽建筑大学,2,534,"106,137",2,521,"106,704",2,516,"115,557",省重点,none,公办
测控技术与仪器,安徽建筑大学,2,533,"108,409",2,520,"108,228",2,516,"115,223",省重点,none,公办
道路桥梁与渡河工程,安徽建筑大学,2,540,"96,274",2,527,"95,501",2,522,"103,995",省重点,none,公办
电子信息工程,安徽建筑大学,2,539,"97,493",2,528,"94,075",2,533,"85,443",省重点,none,公办
风景园林,安徽建筑大学,2,543,"92,354",2,532,"86,617",2,527,"94,506",省重点,none,公办
工程管理,安徽建筑大学,2,537,"100,700",2,524,"101,160",2,520,"107,439",省重点,none,公办
过程装备与控制工程,安徽建筑大学,2,527,"118,113",2,516,"116,755",2,511,"125,215",省重点,none,公办
环境工程,安徽建筑大学,2,536,"103,322",2,523,"102,666",2,519,"110,339",省重点,none,公办
会计学,安徽建筑大学,2,549,"82,784",2,538,"76,982",2,538,"77,012",省重点,none,公办
机械设计制造及其自动化,安徽建筑大学,2,539,"98,479",2,526,"97,614",2,524,"99,727",省重点,none,公办
建筑电气与智能化,安徽建筑大学,2,540,"97,046",2,525,"99,262",2,523,"101,943",省重点,none,公办
建筑环境与能源应用工程,安徽建筑大学,2,535,"104,126",2,523,"103,291",2,518,"111,693",省重点,none,公办
金融工程,安徽建筑大学,2,539,"98,076",2,526,"98,159",2,523,"102,214",省重点,none,公办
经济学,安徽建筑大学,1,545,"87,914",1,535,"82,158",1,537,"78,169",省重点,none,公办
人力资源管理,安徽建筑大学,2,542,"93,136",4,529,"93,227",2,526,"96,652",省重点,none,公办
声学,安徽建筑大学,2,532,"109,716",2,525,"99,625",2,521,"106,114",省重点,none,公办
通信工程,安徽建筑大学,2,534,"106,458",2,524,"101,205",2,524,"100,796",省重点,none,公办
土地资源管理,安徽建筑大学,2,539,"98,821",4,525,"100,210",2,522,"104,961",省重点,none,公办
土木工程,安徽建筑大学,2,544,"89,650",2,531,"89,460",2,528,"92,969",省重点,none,公办
网络工程,安徽建筑大学,2,541,"94,424",2,532,"87,418",2,532,"85,929",省重点,none,公办
无机非金属材料工程,安徽建筑大学,2,531,"111,545",2,518,"112,575",2,515,"118,075",省重点,none,公办
应用化学,安徽建筑大学,2,532,"110,535",2,520,"108,298",2,517,"113,348",省重点,none,公办
自动化,安徽建筑大学,2,537,"102,026",2,528,"93,721",2,528,"93,272",省重点,none,公办
材料科学与工程,安徽科技学院,1,502,"166,040",3,490,"173,370",3,487,"178,864",none,none,公办
财务管理,安徽科技学院,1,513,"144,520",1,505,"139,240",none,none,none,none,none,公办
城乡规划,安徽科技学院,1,507,"156,903",3,497,"157,577",1,497,"157,563",none,none,公办
地理信息科学,安徽科技学院,none,none,none,4,497,"157,705",4,502,"145,697",none,none,公办
电气工程及其自动化,安徽科技学院,1,504,"162,628",1,508,"132,393",1,509,"129,470",none,none,公办
电子信息工程,安徽科技学院,2,504,"161,447",2,504,"141,290",1,512,"124,529",none,none,公办
动物科学,安徽科技学院,none,none,none,6,485,"183,885",none,none,none,none,none,公办
风景园林,安徽科技学院,1,508,"153,613",4,497,"156,649",3,493,"165,189",none,none,公办
工商管理,安徽科技学院,none,none,none,none,none,none,1,502,"146,013",none,none,公办
光电信息科学与工程,安徽科技学院,2,500,"169,968",3,492,"168,286",none,none,none,none,none,公办
计算机科学与技术,安徽科技学院,1,516,"137,815",1,515,"118,072",none,none,none,none,none,公办
建筑学,安徽科技学院,2,508,"153,448",3,497,"155,621",4,494,"163,283",none,none,公办
农学,安徽科技学院,none,none,none,6,489,"174,465",none,none,none,none,none,公办
农业智能装备工程,安徽科技学院,none,none,none,none,none,none,3,481,"195,022",none,none,公办
生物制药,安徽科技学院,none,none,none,none,none,none,2,499,"152,921",none,none,公办
食品科学与工程,安徽科技学院,none,none,none,none,none,none,1,487,"179,054",none,none,公办
食品质量与安全,安徽科技学院,none,none,none,none,none,none,3,488,"178,688",none,none,公办
市场营销,安徽科技学院,none,none,none,none,none,none,2,495,"160,999",none,none,公办
数据科学与大数据技术,安徽科技学院,none,none,none,none,none,none,1,503,"144,181",none,none,公办
土木工程,安徽科技学院,none,none,none,none,none,none,2,492,"167,541",none,none,公办
网络工程,安徽科技学院,2,502,"165,653",5,498,"153,736",none,none,none,none,none,公办
无机非金属材料工程,安徽科技学院,1,509,"151,142",4,462,"237,936",4,478,"200,821",none,none,公办
物流管理,安徽科技学院,none,none,none,none,none,none,2,495,"161,762",none,none,公办
新能源材料与器件,安徽科技学院,none,none,none,none,none,none,4,490,"173,367",none,none,公办
应用化学,安徽科技学院,none,none,none,none,none,none,4,490,"172,539",none,none,公办
质量管理工程,安徽科技学院,none,none,none,none,none,none,2,489,"176,282",none,none,公办
安全工程,安徽理工大学,8,540,"96,211",8,524,"101,096",6,522,"103,838",省重点,none,公办
采矿工程,安徽理工大学,8,527,"118,216",none,none,none,none,none,none,省重点,none,公办
测绘工程,安徽理工大学,4,541,"94,991",6,522,"104,280",6,519,"109,364",省重点,none,公办
测控技术与仪器,安徽理工大学,4,543,"91,437",4,528,"94,061",4,525,"98,211",省重点,none,公办
车辆工程,安徽理工大学,none,none,none,none,none,none,4,530,"89,499",省重点,none,公办
城市地下空间工程,安徽理工大学,4,542,"92,774",4,525,"100,398",4,516,"115,647",省重点,none,公办
弹药工程与爆炸技术,安徽理工大学,4,545,"89,249",6,529,"91,841",2,541,"71,756",省重点,none,公办
导航工程,安徽理工大学,2,543,"91,302",2,528,"94,221",6,522,"104,076",省重点,none,公办
地理空间信息工程,安徽理工大学,none,none,none,8,524,"101,886",8,520,"108,006",省重点,none,公办
地理信息科学,安徽理工大学,4,549,"82,911",none,none,none,none,none,none,省重点,none,公办
地下水科学与工程,安徽理工大学,2,540,"96,062",none,none,none,none,none,none,省重点,none,公办
地质工程,安徽理工大学,6,535,"104,691",6,521,"106,621",8,512,"123,854",省重点,none,公办
电气工程及其自动化,安徽理工大学,2,558,"69,701",2,546,"65,390",2,550,"59,464",省重点,none,公办
电子商务,安徽理工大学,2,550,"81,516",4,536,"81,445",8,531,"87,544",省重点,none,公办
风景园林,安徽理工大学,2,553,"77,171",2,539,"76,006",none,none,none,省重点,none,公办
复合材料与工程,安徽理工大学,4,536,"102,508",4,523,"103,177",8,513,"121,299",省重点,none,公办
高分子材料与工程,安徽理工大学,6,544,"89,897",6,528,"93,725",8,522,"103,585",省重点,none,公办
给排水科学与工程,安徽理工大学,4,540,"96,221",4,525,"100,219",6,516,"115,725",省重点,none,公办
工程力学,安徽理工大学,4,544,"89,795",4,528,"93,545",8,521,"105,929",省重点,none,公办
工程造价,安徽理工大学,2,544,"90,098",2,532,"86,870",2,531,"88,017",省重点,none,公办
工业设计,安徽理工大学,2,549,"82,672",2,542,"71,937",none,none,none,省重点,none,公办
光电信息科学与工程,安徽理工大学,3,549,"82,055",5,535,"81,892",7,535,"80,683",省重点,none,公办
过程装备与控制工程,安徽理工大学,4,541,"94,622",4,526,"97,550",4,519,"110,544",省重点,none,公办
护理学,安徽理工大学,4,532,"110,662",none,none,none,6,512,"124,212",省重点,none,公办
化学工程与工艺,安徽理工大学,6,539,"97,385",6,526,"97,631",6,521,"105,627",省重点,none,公办
环境工程,安徽理工大学,4,545,"88,997",8,527,"95,469",8,520,"107,716",省重点,none,公办
会计学,安徽理工大学,none,none,none,4,538,"77,288",2,538,"76,973",省重点,none,公办
机器人工程,安徽理工大学,none,none,none,4,542,"72,200",2,542,"70,149",省重点,none,公办
机械电子工程(中外合作办学),安徽理工大学,4,503,"163,580",4,493,"164,726",4,497,"156,412",省重点,none,公办
机械设计制造及其自动化,安徽理工大学,4,554,"75,283",4,540,"74,127",6,538,"76,139",省重点,none,公办
计算机科学与技术,安徽理工大学,2,571,"53,167",6,556,"52,701",2,557,"50,343",省重点,none,公办
建筑环境与能源应用工程,安徽理工大学,4,540,"96,437",4,525,"99,131",4,521,"105,464",省重点,none,公办
交通工程,安徽理工大学,4,540,"96,019",4,527,"96,465",4,524,"99,910",省重点,none,公办
金融学,安徽理工大学,none,none,none,8,535,"82,261",2,535,"81,385",省重点,none,公办
勘查技术与工程,安徽理工大学,2,532,"110,107",2,519,"110,739",6,511,"125,809",省重点,none,公办
矿物加工工程,安徽理工大学,4,520,"130,750",4,507,"133,850",8,499,"151,809",省重点,none,公办
临床医学,安徽理工大学,4,575,"48,746",6,563,"45,113",2,566,"41,056",省重点,none,公办
能源化学工程,安徽理工大学,6,539,"97,451",6,525,"99,023",6,520,"107,084",省重点,none,公办
区块链工程,安徽理工大学,none,none,none,4,534,"84,005",2,540,"72,884",省重点,none,公办
人工智能,安徽理工大学,none,none,none,4,548,"62,817",2,547,"63,022",省重点,none,公办
人力资源管理,安徽理工大学,4,549,"82,131",6,534,"84,027",8,531,"88,699",省重点,none,公办
日语,安徽理工大学,2,541,"95,222",4,528,"94,684",4,522,"103,629",省重点,none,公办
软件工程,安徽理工大学,2,569,"55,580",4,554,"55,450",2,557,"50,452",省重点,none,公办
社会工作,安徽理工大学,2,535,"105,308",2,531,"89,553",4,525,"99,378",省重点,none,公办
市场营销,安徽理工大学,4,542,"93,360",6,527,"95,855",8,520,"108,017",省重点,none,公办
数据科学与大数据技术,安徽理工大学,none,none,none,6,547,"65,266",2,547,"62,903",省重点,none,公办
数学与应用数学,安徽理工大学,2,558,"69,166",6,543,"69,932",4,539,"74,438",省重点,none,公办
数字媒体技术,安徽理工大学,2,565,"60,794",2,554,"55,831",2,558,"50,085",省重点,none,公办
水文与水资源工程,安徽理工大学,4,535,"104,797",4,521,"106,994",6,517,"113,546",省重点,none,公办
特种能源技术与工程,安徽理工大学,2,545,"88,197",none,none,none,none,none,none,省重点,none,公办
土木工程,安徽理工大学,6,559,"68,181",10,541,"72,782",10,536,"80,321",省重点,none,公办
网络与新媒体,安徽理工大学,none,none,none,4,542,"71,773",2,546,"64,667",省重点,none,公办
无机非金属材料工程,安徽理工大学,4,537,"101,293",4,523,"103,684",8,514,"119,641",省重点,none,公办
物联网工程,安徽理工大学,3,561,"65,847",3,547,"64,501",3,551,"57,701",省重点,none,公办
消防工程,安徽理工大学,4,536,"103,820",4,522,"105,821",4,516,"114,834",省重点,none,公办
信息安全,安徽理工大学,2,562,"64,904",2,549,"62,717",2,550,"59,281",省重点,none,公办
信息与计算科学,安徽理工大学,2,559,"67,796",4,545,"66,975",2,546,"64,495",省重点,none,公办
遥感科学与技术,安徽理工大学,6,546,"86,842",8,530,"91,552",8,526,"96,051",省重点,none,公办
药学,安徽理工大学,6,546,"86,980",6,534,"84,370",6,532,"86,120",省重点,none,公办
医学检验技术,安徽理工大学,2,570,"54,410",2,554,"55,925",2,553,"55,636",省重点,none,公办
应急技术与管理,安徽理工大学,none,none,none,8,504,"141,836",8,503,"142,457",省重点,none,公办
应用化学,安徽理工大学,4,545,"87,814",4,530,"90,097",4,527,"95,559",省重点,none,公办
应用统计学,安徽理工大学,2,551,"79,388",2,539,"75,600",2,538,"75,977",省重点,none,公办
应用物理学,安徽理工大学,2,551,"79,290",2,539,"75,441",2,537,"78,094",省重点,none,公办
英语,安徽理工大学,2,559,"69,080",4,546,"66,225",4,542,"70,194",省重点,none,公办
预防医学,安徽理工大学,2,556,"72,335",2,543,"70,446",2,541,"72,059",省重点,none,公办
政治学与行政学,安徽理工大学,2,547,"86,134",2,536,"81,090",4,536,"80,585",省重点,none,公办
职业卫生工程,安徽理工大学,none,none,none,4,465,"229,133",4,497,"156,809",省重点,none,公办
制药工程,安徽理工大学,4,545,"88,280",8,531,"89,316",8,527,"94,527",省重点,none,公办
智能材料与结构,安徽理工大学,none,none,none,none,none,none,5,517,"114,258",省重点,none,公办
