山东省2020年普通类常规批第1次志愿投档情况表,,,,,,,,
专业,院校,普通类,,,,,,
,,计划数,投档计划数,投出数,最低分,最低位次,,
36电子信息工程,A536长沙理工大学,2,2,2,593,32360,,
37轨道交通信号与控制,A536长沙理工大学,2,2,2,586,37884,,
38通信工程,A536长沙理工大学,2,2,2,593,31723,,
42道路桥梁与渡河工程,A536长沙理工大学,4,4,4,579,45288,,
43交通运输类,A536长沙理工大学,3,3,3,593,31870,,
45工程管理,A536长沙理工大学,2,2,2,582,41809,,
46给排水科学与工程,A536长沙理工大学,2,2,2,579,44899,,
50船舶与海洋工程,A536长沙理工大学,2,2,2,581,42725,,
53材料类,A536长沙理工大学,5,5,5,585,38809,,
56机械类,A536长沙理工大学,10,10,10,587,37346,,
57建筑类,A536长沙理工大学,2,2,2,590,34222,,
58水利类,A536长沙理工大学,3,3,3,586,38541,,
60计算机类,A536长沙理工大学,4,4,4,594,31039,,
63电子信息类,A536长沙理工大学,2,2,2,593,31784,,
64生物工程类,A536长沙理工大学,5,5,5,582,41831,,
26土木工程(中外合作办学),A536长沙理工大学,2,2,2,569,55582,,
51电气工程及其自动化(中外合作办学),A536长沙理工大学,5,5,5,575,49330,,
62机械设计制造及其自动化(中外合作办学),A536长沙理工大学,3,3,3,567,58298,,
01动物科学,A537湖南农业大学,3,3,3,540,96305,,
09水利水电工程,A537湖南农业大学,4,4,4,530,113556,,
15农学,A537湖南农业大学,2,2,2,569,56002,,
29生物工程,A537湖南农业大学,2,2,2,545,88248,,
35材料化学,A537湖南农业大学,2,2,2,541,95181,,
39中药资源与开发,A537湖南农业大学,2,2,2,537,101080,,
45法学,A537湖南农业大学,3,3,3,558,70474,,
52计算机科学与技术,A537湖南农业大学,2,2,2,543,90915,,
53电子信息工程,A537湖南农业大学,3,3,3,542,93736,,
54物联网工程,A537湖南农业大学,2,2,2,542,92595,,
63英语,A537湖南农业大学,3,3,3,563,63531,,
76公共管理类,A537湖南农业大学,5,5,5,544,89791,,
81智能科学与技术,A537湖南农业大学,2,2,2,542,92911,,
85土地资源管理,A537湖南农业大学,2,2,2,555,74561,,
CA会计学（ACCA卓越班）,A537湖南农业大学,3,3,3,553,77319,,
GS工商管理类,A537湖南农业大学,4,4,4,544,89790,,
JX机械类,A537湖南农业大学,4,4,4,532,109713,,
Z3动物医学类,A537湖南农业大学,4,4,4,551,79194,,
Z5食品科学与工程类,A537湖南农业大学,6,6,6,538,99357,,
Z9动植物检疫,A537湖南农业大学,4,4,4,525,121311,,
01园艺,A538中南林业科技大学,2,2,2,560,67064,,
03林学类,A538中南林业科技大学,5,5,5,560,66541,,
04土地资源管理,A538中南林业科技大学,2,2,2,555,73421,,
07材料类,A538中南林业科技大学,4,4,4,547,85021,,
08化学工程与工艺,A538中南林业科技大学,2,2,2,550,80424,,
10木材科学与工程,A538中南林业科技大学,3,3,3,553,76818,,
11林产化工,A538中南林业科技大学,2,2,2,546,86433,,
12机械设计制造及其自动化,A538中南林业科技大学,2,2,2,556,72291,,
13材料成型及控制工程,A538中南林业科技大学,2,2,2,545,88135,,
14车辆工程,A538中南林业科技大学,2,2,2,547,85488,,
15能源与动力工程,A538中南林业科技大学,2,2,2,552,77567,,
19物流工程,A538中南林业科技大学,2,2,2,550,81670,,
20建筑类,A538中南林业科技大学,2,2,2,575,49221,,
22园林,A538中南林业科技大学,2,2,2,567,58867,,
28电子科学与技术,A538中南林业科技大学,3,3,3,558,69493,,
29通信工程,A538中南林业科技大学,2,2,2,562,65056,,
31计算机科学与技术,A538中南林业科技大学,2,2,2,565,61021,,
32软件工程,A538中南林业科技大学,2,2,2,561,65668,,
34土木类,A538中南林业科技大学,6,6,6,549,82692,,
35测绘工程,A538中南林业科技大学,2,2,2,551,80125,,
36工程管理,A538中南林业科技大学,2,2,2,551,80065,,
37食品科学与工程类,A538中南林业科技大学,5,5,5,556,72421,,
38环境科学与工程类,A538中南林业科技大学,5,5,5,553,76091,,
39信息与计算科学,A538中南林业科技大学,2,2,2,557,71031,,
41地理信息科学,A538中南林业科技大学,3,3,3,560,66973,,
42市场营销,A538中南林业科技大学,2,2,2,564,61738,,
43会计学,A538中南林业科技大学,2,2,2,568,57019,,
45国际商务,A538中南林业科技大学,2,2,2,564,62504,,
47农林经济管理,A538中南林业科技大学,2,2,2,565,60996,,
49金融学（CFA卓越班）,A538中南林业科技大学,2,2,2,570,55288,,
50英语,A538中南林业科技大学,2,2,2,572,52459,,
53日语,A538中南林业科技大学,2,2,2,563,63361,,
56旅游管理类,A538中南林业科技大学,5,5,5,549,82970,,
57法学,A538中南林业科技大学,3,3,3,576,48193,,
01中医学（卓越1班、5+3一体化）,A541湖南中医药大学,2,2,2,594,31534,,
02中医学,A541湖南中医药大学,6,6,6,582,41900,,
03中西医临床医学,A541湖南中医药大学,6,6,6,581,42641,,
04针灸推拿学,A541湖南中医药大学,3,3,3,576,47960,,
05康复治疗学,A541湖南中医药大学,3,3,3,571,53650,,
06临床医学,A541湖南中医药大学,3,3,3,591,33460,,
07医学影像学,A541湖南中医药大学,1,1,1,587,37050,,
08口腔医学,A541湖南中医药大学,1,1,1,604,24084,,
10护理学,A541湖南中医药大学,3,3,3,560,66823,,
11药学,A541湖南中医药大学,2,2,2,576,47918,,
15制药工程,A541湖南中医药大学,1,1,1,575,48974,,
16食品科学与工程,A541湖南中医药大学,1,1,1,578,45886,,
17生物工程,A541湖南中医药大学,1,1,1,574,50472,,
21应用心理学,A541湖南中医药大学,1,1,1,577,46906,,
22计算机科学与技术,A541湖南中医药大学,1,1,1,585,38742,,
23信息管理与信息系统,A541湖南中医药大学,1,1,1,572,52361,,
24市场营销,A541湖南中医药大学,1,1,1,559,67884,,
26中医养生学,A541湖南中医药大学,3,3,3,575,49559,,
27中医康复学,A541湖南中医药大学,1,1,1,570,54537,,
28中医学（卓越2班、5+3一体化）,A541湖南中医药大学,2,2,2,591,33477,,
29中医学（卓越3班、5+3一体化）,A541湖南中医药大学,2,2,2,590,34277,,
A9心理学,A542湖南师范大学,2,2,2,617,16592,,
B1汉语言文学,A542湖南师范大学,2,2,2,618,15881,,
D0编辑出版学,A542湖南师范大学,2,2,2,610,20114,,
D3广告学,A542湖南师范大学,2,2,2,611,19918,,
D4网络与新媒体,A542湖南师范大学,2,2,2,616,17126,,
D5新闻学,A542湖南师范大学,2,2,2,617,16201,,
E0法学,A542湖南师范大学,6,6,6,613,18707,,
E2知识产权,A542湖南师范大学,2,2,2,611,19626,,
F0行政管理,A542湖南师范大学,2,2,2,605,23080,,
F1社会学,A542湖南师范大学,2,2,2,608,21688,,
F2思想政治教育,A542湖南师范大学,2,2,2,614,18177,,
F4哲学,A542湖南师范大学,2,2,2,612,19250,,
F5政治学与行政学,A542湖南师范大学,2,2,2,612,19327,,
G0工商管理,A542湖南师范大学,4,4,4,607,22184,,
G1国际经济与贸易,A542湖南师范大学,2,2,2,608,21657,,
G2会计学,A542湖南师范大学,7,7,7,607,21885,,
G3金融学,A542湖南师范大学,2,2,2,609,20951,,
G4经济学,A542湖南师范大学,2,2,2,607,22113,,
H0会展经济与管理,A542湖南师范大学,2,2,2,599,27719,,
J0朝鲜语,A542湖南师范大学,2,2,2,606,22828,,
J1俄语,A542湖南师范大学,3,3,3,604,24256,,
J3翻译,A542湖南师范大学,2,2,2,613,18744,,
J4日语,A542湖南师范大学,2,2,2,605,23220,,
M0数学与应用数学,A542湖南师范大学,2,2,2,620,14701,,
M3统计学,A542湖南师范大学,2,2,2,609,20837,,
M5数据科学与大数据技术,A542湖南师范大学,2,2,2,609,20721,,
N0电子信息科学与技术,A542湖南师范大学,2,2,2,603,24867,,
N1物理学类,A542湖南师范大学,7,7,7,608,21634,,
P0化学,A542湖南师范大学,2,2,2,622,14060,,
P3化学工程与工艺,A542湖南师范大学,6,6,6,600,26433,,
P4制药工程,A542湖南师范大学,2,2,2,603,24416,,
Q0生物技术,A542湖南师范大学,2,2,2,610,20550,,
Q1生物科学,A542湖南师范大学,2,2,2,614,17822,,
R0地理科学,A542湖南师范大学,2,2,2,616,17045,,
R3地理信息科学,A542湖南师范大学,2,2,2,606,22672,,
R4人文地理与城乡规划,A542湖南师范大学,2,2,2,606,22725,,
R6土地资源管理,A542湖南师范大学,2,2,2,604,24330,,
T0电子信息工程,A542湖南师范大学,2,2,2,602,25241,,
T9机械设计制造及其自动化,A542湖南师范大学,2,2,2,601,26230,,
V1计算机科学与技术,A542湖南师范大学,3,3,3,607,22174,,
V3软件工程,A542湖南师范大学,4,4,4,603,24828,,
V4通信工程,A542湖南师范大学,3,3,3,604,23799,,
V5物联网工程,A542湖南师范大学,2,2,2,603,24904,,
V6人工智能,A542湖南师范大学,6,6,6,602,25253,,
02法学,A543湖南理工学院,1,1,1,545,88865,,
03汉语言文学,A543湖南理工学院,2,2,2,540,95981,,
08朝鲜语,A543湖南理工学院,3,3,3,509,152898,,
0G网络与新媒体,A543湖南理工学院,2,2,2,538,100322,,
0T机械设计制造及其自动化,A543湖南理工学院,2,2,2,528,117120,,
0U材料成型及控制工程,A543湖南理工学院,2,2,2,516,137700,,
0V机械电子工程,A543湖南理工学院,2,2,2,517,136768,,
0X通信工程,A543湖南理工学院,3,3,3,522,127147,,
11软件工程,A543湖南理工学院,1,1,1,565,60509,,
12土木工程,A543湖南理工学院,2,2,2,517,136214,,
1E应用化学(中外合作办学),A543湖南理工学院,2,2,2,486,198143,,
11数学与应用数学,A545湘南学院,2,2,2,506,157136,,
14金融工程,A545湘南学院,2,2,2,503,163719,,
15汉语言文学,A545湘南学院,3,3,3,517,137256,,
17新闻学,A545湘南学院,2,2,2,507,155649,,
19翻译,A545湘南学院,1,1,1,524,123754,,
20商务英语,A545湘南学院,1,1,1,512,146022,,
21国际经济与贸易,A545湘南学院,2,2,2,503,163030,,
22旅游管理,A545湘南学院,1,1,1,499,172623,,
24财务管理,A545湘南学院,1,1,1,518,134318,,
25物流管理,A545湘南学院,1,1,1,529,115383,,
26电气工程及其自动化,A545湘南学院,2,2,2,504,161435,,
33环境生态工程,A545湘南学院,2,2,2,505,159712,,
34计算机科学与技术,A545湘南学院,2,2,2,510,151036,,
37物联网工程,A545湘南学院,2,2,2,507,155819,,
42医学检验技术,A545湘南学院,2,2,2,519,132203,,
43医学影像技术,A545湘南学院,2,2,2,512,146675,,
44卫生检验与检疫,A545湘南学院,2,2,2,506,157758,,
46护理学,A545湘南学院,2,2,2,509,151893,,
47康复治疗学,A545湘南学院,2,2,2,511,148267,,
48针灸推拿学,A545湘南学院,2,2,2,523,125582,,
49药学,A545湘南学院,2,2,2,508,153880,,
51临床医学,A545湘南学院,3,3,3,537,102073,,
9B医学影像学,A545湘南学院,2,2,2,533,108072,,
9E学前教育,A545湘南学院,2,2,2,501,167297,,
01经济学,A546衡阳师范学院,1,1,1,511,149009,,
02国际经济与贸易,A546衡阳师范学院,1,1,1,521,129898,,
04电子商务,A546衡阳师范学院,1,1,1,508,154886,,
05法学,A546衡阳师范学院,1,1,1,522,126754,,
06知识产权,A546衡阳师范学院,1,1,1,515,140694,,
07思想政治教育,A546衡阳师范学院,1,1,1,530,113395,,
09历史学,A546衡阳师范学院,1,1,1,530,113964,,
11汉语言文学,A546衡阳师范学院,1,1,1,540,95786,,
13汉语国际教育,A546衡阳师范学院,1,1,1,524,124433,,
14编辑出版学,A546衡阳师范学院,2,2,2,535,104746,,
15新闻学,A546衡阳师范学院,2,2,2,534,107168,,
16广告学,A546衡阳师范学院,1,1,1,527,117945,,
17网络与新媒体,A546衡阳师范学院,1,1,1,536,103246,,
18英语,A546衡阳师范学院,1,1,1,553,76556,,
21商务英语,A546衡阳师范学院,1,1,1,530,113738,,
35地理科学,A546衡阳师范学院,1,1,1,535,104200,,
39旅游管理,A546衡阳师范学院,2,2,2,514,142092,,
42电子信息科学与技术,A546衡阳师范学院,1,1,1,502,165346,,
43化学,A546衡阳师范学院,2,2,2,522,128275,,
45应用化学,A546衡阳师范学院,1,1,1,506,158815,,
47高分子材料与工程,A546衡阳师范学院,1,1,1,499,171612,,
50软件工程,A546衡阳师范学院,2,2,2,505,159355,,
52物联网工程,A546衡阳师范学院,1,1,1,502,165533,,
53教育学,A546衡阳师范学院,1,1,1,530,113790,,
54学前教育,A546衡阳师范学院,2,2,2,516,139536,,
56应用心理学,A546衡阳师范学院,1,1,1,521,129827,,
58生物科学,A546衡阳师范学院,1,1,1,530,112747,,
62电子信息工程,A546衡阳师范学院,1,1,1,502,166005,,
63计算机科学与技术,A546衡阳师范学院,1,1,1,504,162776,,
04城乡规划,A547邵阳学院,3,3,3,496,178343,,
09自动化,A547邵阳学院,3,3,3,491,188624,,
13护理学,A547邵阳学院,2,2,2,502,166479,,
16机械设计制造及其自动化,A547邵阳学院,3,3,3,493,183673,,
17法学,A547邵阳学院,3,3,3,502,166227,,
18思想政治教育,A547邵阳学院,3,3,3,502,165640,,
19智能制造工程,A547邵阳学院,3,3,3,496,178480,,
20能源与动力工程,A547邵阳学院,3,3,3,496,178288,,
21金融工程,A547邵阳学院,4,4,4,497,175879,,
23管理科学,A547邵阳学院,4,4,4,478,213884,,
26信息与计算科学,A547邵阳学院,3,3,3,489,191278,,
32食品质量与安全,A547邵阳学院,3,3,3,500,169421,,
36英语,A547邵阳学院,3,3,3,501,168482,,
37商务英语,A547邵阳学院,2,2,2,501,167472,,
42电子信息工程,A547邵阳学院,3,3,3,493,183352,,
44计算机科学与技术,A547邵阳学院,3,3,3,501,167741,,
45物联网工程,A547邵阳学院,3,3,3,493,184086,,
48临床医学,A547邵阳学院,4,4,4,533,107972,,
49医学影像技术,A547邵阳学院,3,3,3,506,157382,,
09国际经济与贸易,A548怀化学院,2,2,2,498,174742,,
29材料化学,A548怀化学院,1,1,1,500,170090,,
33电子信息科学与技术,A548怀化学院,2,2,2,494,182231,,
34计算机科学与技术,A548怀化学院,1,1,1,497,175803,,
38食品质量与安全,A548怀化学院,1,1,1,498,174258,,
40生物工程,A548怀化学院,1,1,1,501,168331,,
51机器人工程,A548怀化学院,2,2,2,489,192161,,
53历史学,A548怀化学院,2,2,2,506,158443,,
02新闻学,A549湖南文理学院,2,2,2,515,140651,,
40水产养殖学,A549湖南文理学院,2,2,2,488,194324,,
47自动化,A549湖南文理学院,2,2,2,500,169480,,
51机械电子工程,A549湖南文理学院,2,2,2,486,197471,,
Z1信息管理与信息系统(中外合作办学),A549湖南文理学院,2,2,2,485,200882,,
Z2机械设计制造及其自动化(中外合作办学),A549湖南文理学院,2,2,2,478,214488,,
03汉语言文学,A551湖南科技学院,2,2,2,516,138549,,
0M土木工程,A551湖南科技学院,2,2,2,498,174177,,
0Y国际经济与贸易,A551湖南科技学院,1,1,1,529,114863,,
0C商务英语,A553湖南人文科技学院,6,6,6,498,174672,,
0G社会工作,A553湖南人文科技学院,5,5,5,493,184769,,
0R电子商务,A553湖南人文科技学院,6,6,6,488,193563,,
0W思想政治教育,A553湖南人文科技学院,4,4,4,504,162256,,
12机械设计制造及其自动化,A553湖南人文科技学院,5,5,5,489,192373,,
17园艺,A553湖南人文科技学院,5,5,5,492,186516,,
18食品科学与工程,A553湖南人文科技学院,5,5,5,491,187347,,
1B电子信息工程,A553湖南人文科技学院,5,5,5,489,191640,,
1E计算机科学与技术,A553湖南人文科技学院,4,4,4,493,183552,,
02国际经济与贸易,A554湖南工商大学,4,4,4,559,69125,,
10金融学类,A554湖南工商大学,4,4,4,564,62364,,
20工商管理类,A554湖南工商大学,4,4,4,559,67811,,
31财务管理,A554湖南工商大学,4,4,4,562,65020,,
70旅游管理类,A554湖南工商大学,4,4,4,554,75973,,
90电子信息工程,A554湖南工商大学,3,3,3,549,82020,,
98人工智能,A554湖南工商大学,3,3,3,549,82768,,
01机械类,A555南华大学,20,20,20,544,90006,,
02能源与动力工程,A555南华大学,5,5,5,547,85277,,
03电气工程及其自动化,A555南华大学,3,3,3,557,71035,,
04自动化,A555南华大学,2,2,2,555,73589,,
05电子信息类,A555南华大学,5,5,5,554,75623,,
07测控技术与仪器,A555南华大学,2,2,2,545,88298,,
08核工程类,A555南华大学,6,6,6,566,59224,,
09核物理,A555南华大学,2,2,2,567,57801,,
0B矿业类,A555南华大学,12,12,12,532,110164,,
0D城市地下空间工程,A555南华大学,8,8,8,536,102456,,
0E环境工程,A555南华大学,6,6,6,542,93257,,
0G计算机类,A555南华大学,8,8,8,558,69322,,
0K土木类,A555南华大学,20,20,20,539,98312,,
0M风景园林,A555南华大学,3,3,3,550,81188,,
0Q化工与制药类,A555南华大学,7,7,7,541,95470,,
0R材料类,A555南华大学,5,5,5,543,91134,,
0S信息与计算科学,A555南华大学,4,4,4,555,73977,,
0U临床医学类,A555南华大学,2,2,2,592,33118,,
0X生物技术,A555南华大学,2,2,2,556,72850,,
0Y药学,A555南华大学,6,6,6,555,74160,,
0Z预防医学,A555南华大学,4,4,4,558,69453,,
11护理学,A555南华大学,6,6,6,538,99211,,
13物流工程,A555南华大学,4,4,4,548,84706,,
15法学,A555南华大学,7,7,7,561,65752,,
17经济学,A555南华大学,2,2,2,555,73510,,
18外国语言文学类,A555南华大学,4,4,4,552,78526,,
1G安全工程,A555南华大学,5,5,5,545,88513,,
02历史学,A558中山大学,2,2,2,652,4178,,
03哲学类（广州）,A558中山大学,2,2,2,651,4445,,
06外国语言文学类（广州）,A558中山大学,2,2,2,652,4192,,
07法学,A558中山大学,2,2,2,656,3382,,
08公共管理类,A558中山大学,2,2,2,652,4161,,
11新闻传播学类,A558中山大学,2,2,2,655,3482,,
17外国语言文学类（珠海）,A558中山大学,2,2,2,647,5172,,
18国际政治,A558中山大学,2,2,2,651,4332,,
19旅游管理类,A558中山大学,4,4,4,646,5605,,
21汉语言文学,A558中山大学,4,4,4,653,4044,,
30工商管理类,A558中山大学,5,5,5,661,2422,,
31心理学,A558中山大学,2,2,2,655,3542,,
34数学类,A558中山大学,2,2,2,664,1942,,
35物理学类（广州）,A558中山大学,3,3,3,660,2608,,
37地理科学类,A558中山大学,2,2,2,652,4157,,
38生物科学类,A558中山大学,3,3,3,656,3275,,
40电子信息类（广州）,A558中山大学,6,6,6,659,2822,,
41计算机类（广州）,A558中山大学,6,6,6,661,2471,,
43环境科学与工程类,A558中山大学,3,3,3,652,4110,,
44临床医学（八年制）,A558中山大学,2,2,2,675,811,,
45临床医学,A558中山大学,9,9,9,668,1453,,
49口腔医学,A558中山大学,2,2,2,666,1798,,
51药学,A558中山大学,4,4,4,652,4182,,
60数学类（珠海）,A558中山大学,5,5,5,656,3250,,
61物理学类（珠海）,A558中山大学,5,5,5,656,3394,,
62大气科学类,A558中山大学,5,5,5,647,5255,,
63海洋科学,A558中山大学,6,6,6,647,5238,,
68土木、水利与海洋工程,A558中山大学,5,5,5,647,5136,,
69微电子科学与工程（珠海）,A558中山大学,3,3,3,658,2990,,
71临床医学（深圳）,A558中山大学,9,9,9,662,2339,,
72预防医学（深圳）,A558中山大学,3,3,3,654,3738,,
74材料类（深圳）,A558中山大学,7,7,7,647,5165,,
75生物医学工程,A558中山大学,9,9,9,646,5574,,
76电子信息类（深圳）,A558中山大学,7,7,7,655,3590,,
77计算机类（深圳）,A558中山大学,8,8,8,653,3904,,
82智能科学与技术（珠海）,A558中山大学,5,5,5,653,3931,,
83软件工程（珠海）,A558中山大学,5,5,5,655,3588,,
85经济学类（广州）,A558中山大学,3,3,3,660,2526,,
88化学类,A558中山大学,4,4,4,656,3400,,
89经济学类（珠海）,A558中山大学,4,4,4,653,3861,,
90地质学类,A558中山大学,4,4,4,644,6135,,
91航空航天工程,A558中山大学,8,8,8,652,4215,,
67核工程类(中外合作办学)（中法合作办学）,A558中山大学,4,4,4,644,6124,,
01汉语言文学,A559暨南大学,2,2,2,621,14626,,
04广告学,A559暨南大学,2,2,2,623,13367,,
06网络与新媒体,A559暨南大学,3,3,3,627,11819,,
13税收学,A559暨南大学,2,2,2,622,14190,,
16会计学,A559暨南大学,2,2,2,634,9166,,
18市场营销,A559暨南大学,2,2,2,620,14763,,
1D公共事业管理,A559暨南大学,2,2,2,618,16154,,
1E法学,A559暨南大学,2,2,2,632,9942,,
20国际政治,A559暨南大学,2,2,2,621,14274,,
22应用物理学,A559暨南大学,2,2,2,617,16328,,
28环境科学,A559暨南大学,3,3,3,614,17824,,
2A数学与应用数学,A559暨南大学,2,2,2,622,13883,,
2F计算机科学与技术,A559暨南大学,2,2,2,624,12908,,
31网络工程,A559暨南大学,3,3,3,621,14308,,
32网络空间安全,A559暨南大学,2,2,2,622,13957,,
33信息安全,A559暨南大学,2,2,2,624,13171,,
37生物科学,A559暨南大学,3,3,3,619,15419,,
38应用化学,A559暨南大学,2,2,2,615,17664,,
3F中医学,A559暨南大学,3,3,3,617,16419,,
41中药学,A559暨南大学,2,2,2,617,16584,,
43国际经济与贸易,A559暨南大学,2,2,2,623,13509,,
45食品科学与工程,A559暨南大学,2,2,2,611,19468,,
46药学,A559暨南大学,2,2,2,621,14496,,
4A临床医学,A559暨南大学,2,2,2,626,12045,,
51行政管理,A559暨南大学,2,2,2,616,16772,,
53金融学,A559暨南大学,2,2,2,630,10409,,
55国际商务,A559暨南大学,2,2,2,616,16748,,
56工商管理,A559暨南大学,2,2,2,622,13959,,
57财务管理,A559暨南大学,2,2,2,619,15549,,
59翻译,A559暨南大学,2,2,2,619,15476,,
5A电气工程及其自动化,A559暨南大学,2,2,2,619,15348,,
5C包装工程,A559暨南大学,2,2,2,605,23201,,
61汉语国际教育,A559暨南大学,2,2,2,623,13406,,
62旅游管理,A559暨南大学,4,4,4,614,18241,,
63风景园林,A559暨南大学,2,2,2,615,17465,,
66电子商务,A559暨南大学,2,2,2,617,16605,,
67商务英语,A559暨南大学,2,2,2,617,16556,,
6A光电信息科学与工程,A559暨南大学,2,2,2,620,14978,,
6F经济学,A559暨南大学,2,2,2,628,11211,,
6B数学与应用数学(中外合作办学),A559暨南大学,3,3,3,597,28930,,
6C信息与计算科学(中外合作办学),A559暨南大学,3,3,3,597,28909,,
6D经济统计学(中外合作办学),A559暨南大学,3,3,3,603,24897,,
6E经济学(中外合作办学),A559暨南大学,3,3,3,611,19652,,
01汉语言文学,A560汕头大学,3,3,3,596,29960,,
02英语,A560汕头大学,2,2,2,595,30762,,
06光电信息科学与工程,A560汕头大学,3,3,3,592,32815,,
07应用化学,A560汕头大学,3,3,3,587,36756,,
08生物技术,A560汕头大学,3,3,3,585,38827,,
11机械设计制造及其自动化,A560汕头大学,2,2,2,593,31954,,
21数据科学与大数据技术,A560汕头大学,2,2,2,596,29892,,
22土木工程,A560汕头大学,2,2,2,587,37312,,
25生物医学工程,A560汕头大学,2,2,2,593,32505,,
26法学,A560汕头大学,4,4,4,600,26550,,
27法学（涉外法务英语特色班）,A560汕头大学,2,2,2,600,26605,,
32工商管理,A560汕头大学,2,2,2,591,34132,,
37网络与新媒体,A560汕头大学,3,3,3,588,36554,,
45临床医学（全英预备班，5+3一体化）,A560汕头大学,3,3,3,609,21185,,
46临床医学（5+3一体化）,A560汕头大学,1,1,1,622,13808,,
48临床医学,A560汕头大学,3,3,3,605,23475,,
01微电子科学与工程,A561华南理工大学,3,3,3,651,4441,,
02生物医学工程,A561华南理工大学,2,2,2,645,5672,,
03分子科学与工程,A561华南理工大学,1,1,1,647,5210,,
04智能制造工程,A561华南理工大学,2,2,2,652,4211,,
05机器人工程,A561华南理工大学,1,1,1,650,4574,,
08机械类,A561华南理工大学,5,5,5,647,5357,,
09建筑学,A561华南理工大学,2,2,2,656,3360,,
0A城乡规划,A561华南理工大学,2,2,2,645,5830,,
0B风景园林,A561华南理工大学,1,1,1,647,5192,,
0C工程力学（创新班）,A561华南理工大学,1,1,1,646,5432,,
0D土木工程（卓越全英班）,A561华南理工大学,1,1,1,650,4494,,
0G电气工程及其自动化（卓越班）,A561华南理工大学,2,2,2,653,4045,,
0J电气类,A561华南理工大学,7,7,7,649,4833,,
0K信息工程（创新班）,A561华南理工大学,1,1,1,653,3881,,
0L信息工程,A561华南理工大学,5,5,5,650,4662,,
0N自动化类,A561华南理工大学,4,4,4,650,4607,,
0U食品科学与工程类,A561华南理工大学,3,3,3,645,5895,,
0W数学类,A561华南理工大学,5,5,5,650,4631,,
0Y物理学类,A561华南理工大学,3,3,3,648,4944,,
0Z工商管理（全英班）,A561华南理工大学,1,1,1,646,5438,,
10工商管理类,A561华南理工大学,4,4,4,646,5609,,
11会计学,A561华南理工大学,1,1,1,650,4622,,
13行政管理,A561华南理工大学,1,1,1,642,6683,,
14商务英语,A561华南理工大学,3,3,3,637,7991,,
15日语,A561华南理工大学,2,2,2,632,9755,,
18计算机类,A561华南理工大学,5,5,5,653,3852,,
1B软件工程,A561华南理工大学,4,4,4,653,3977,,
1D环境工程（3加2中澳班）,A561华南理工大学,1,1,1,640,7214,,
1E环境科学与工程类,A561华南理工大学,3,3,3,644,5907,,
1F生物科学类,A561华南理工大学,2,2,2,645,5666,,
1G传播学（2加2联合班）,A561华南理工大学,2,2,2,640,7262,,
1H新闻传播学类,A561华南理工大学,3,3,3,641,6691,,
1M工业设计,A561华南理工大学,2,2,2,648,4996,,
1U经济学类,A561华南理工大学,4,4,4,647,5234,,
1V电子商务类,A561华南理工大学,2,2,2,642,6496,,
1Y临床医学,A561华南理工大学,2,2,2,646,5500,,
01包装工程,A564华南农业大学,1,1,1,579,44626,,
17动物科学,A564华南农业大学,2,2,2,585,39415,,
19动物医学（丁颖创新班）,A564华南农业大学,1,1,1,595,30574,,
20动物医学,A564华南农业大学,1,1,1,594,31157,,
22法学,A564华南农业大学,1,1,1,595,30854,,
26服装设计与工程,A564华南农业大学,1,1,1,579,44805,,
29工业设计,A564华南农业大学,1,1,1,581,42519,,
33海洋科学,A564华南农业大学,1,1,1,591,33387,,
49林学,A564华南农业大学,1,1,1,584,39897,,
50林学（丁颖创新班）,A564华南农业大学,1,1,1,585,39422,,
52木材科学与工程,A564华南农业大学,1,1,1,577,46993,,
57农学,A564华南农业大学,2,2,2,578,45980,,
60日语,A564华南农业大学,2,2,2,580,44143,,
62森林保护,A564华南农业大学,1,1,1,582,42447,,
66生物工程,A564华南农业大学,1,1,1,588,35967,,
67生物科学（国家生物学理科基地班）,A564华南农业大学,1,1,1,599,27601,,
69生物科学类,A564华南农业大学,1,1,1,592,32923,,
76水产养殖学,A564华南农业大学,2,2,2,573,51900,,
86英语,A564华南农业大学,1,1,1,589,35704,,
91园艺,A564华南农业大学,1,1,1,578,46190,,
93植物保护,A564华南农业大学,2,2,2,579,44658,,
98种子科学与工程,A564华南农业大学,1,1,1,580,43884,,
C3农林经济管理,A564华南农业大学,2,2,2,578,45861,,
68生物科学(中外合作办学)（与爱尔兰都柏林大学合作办学）,A564华南农业大学,2,2,2,564,61845,,
73食品质量与安全(中外合作办学)（与爱尔兰都柏林大学合作办学）,A564华南农业大学,2,2,2,558,70007,,
90园艺(中外合作办学)（与爱尔兰都柏林大学合作办学）,A564华南农业大学,2,2,2,558,70035,,
02国际经济与贸易,A566广东海洋大学,1,1,1,556,72969,,
11英语,A566广东海洋大学,2,2,2,557,71446,,
17大气科学,A566广东海洋大学,4,4,4,548,83973,,
18应用气象学,A566广东海洋大学,3,3,3,545,88284,,
19海洋科学,A566广东海洋大学,11,11,11,545,88518,,
24机械设计制造及其自动化,A566广东海洋大学,1,1,1,556,71963,,
31自动化,A566广东海洋大学,4,4,4,554,74763,,
32计算机科学与技术,A566广东海洋大学,1,1,1,566,58901,,
36港口航道与海岸工程,A566广东海洋大学,3,3,3,539,98483,,
37制药工程,A566广东海洋大学,4,4,4,549,82647,,
41船舶与海洋工程,A566广东海洋大学,4,4,4,539,97481,,
43食品科学与工程,A566广东海洋大学,11,11,11,536,103665,,
44食品质量与安全,A566广东海洋大学,10,10,10,537,100938,,
