专业代号及名称,院校代号及名称,投档计划数,投档最低位次
09电气工程及其自动化,A148辽宁石油化工大学,2,115313
1T建筑电气与智能化,A430山东建筑大学,40,115504
0F电气工程及其自动化,B775防灾科技学院,4,116212
25电气工程及其自动化,A402闽南师范大学,2,116295
13电气工程及其自动化,A434山东农业大学,96,116949
08电气工程及其自动化,B055常州工学院,5,119234
2S电气工程与智能控制(就读地点泰安),Y018山东科技大学,100,121168
49电气工程及其自动化,A594广西科技大学,4,121426
02电气工程及其自动化,D897天津理工大学中环信息学院,1,122377
35建筑电气与智能化,A462郑州轻工业大学,5,122621
13电气工程及其自动化,A435青岛农业大学,124,124220
1A电气工程及其自动化,A676云南农业大学,1,124518
09电气工程及其自动化,A192吉林化工学院,1,125030
37电气工程及其自动化,A113山西农业大学,3,127415
0M电气工程及其自动化,B319南昌工程学院,2,127860
3M电气类,A086河北农业大学,10,128116
0K电气工程及其自动化,A879安徽科技学院,1,129470
H2电气工程及其自动化(中外合作办学),A720陕西理工大学,2,129708
2S电气工程及其自动化,A452临沂大学,31,130368
17电气工程及其自动化,D982无锡学院,2,131217
15电气工程及其自动化,B077长沙学院,2,131580
0H电气工程及其自动化,B104华北科技学院,4,131709
3K电气类,A128内蒙古工业大学,14,132290
9A电气工程及其自动化(中外合作办学),A081华北理工大学,8,133698
11建筑电气与智能化(济南走读),Y015山东建筑大学,10,137672
33电气工程及其自动化,A232齐齐哈尔大学,4,140264
27电气工程及其自动化,A191吉林建筑大学,10,140590
02电气类,B407北方民族大学,2,145187
01电气工程及其自动化,B510山东交通学院,36,145305
1V电气工程及其自动化(中外合作办学)(就读地点济南，只提供英语教学、,A424山东科技大学,85,146417
12电气工程及其自动化,A485郑州航空工业管理学院,2,146600
20电气工程及其自动化(校企合作，与歌尔股份有限公司合作),A446曲阜师范大学,100,147447
5T电气类,A642重庆文理学院,3,148666
19电气工程及其自动化,A465中原工学院,4,151499
0D电气工程及其自动化,B688山东工商学院,31,153866
L3电气类,A127内蒙古科技大学,15,155713
16电气工程及其自动化,B070洛阳理工学院,4,155753
1F电气工程及其自动化,B508新余学院,1,155916
0B电气工程及其自动化,B517河南工程学院,2,156410
D1电气工程及其自动化(中外合作办学),A190长春工业大学,5,157676
62电气工程及其自动化,A129内蒙古农业大学,3,160038
34建筑电气与智能化,A191吉林建筑大学,7,160715
23电气工程及其自动化,A545湘南学院,4,163220
D2电气工程及其自动化,B528湖南工学院,2,165024
0D电气工程及其自动化,A136内蒙古民族大学,4,165073
23电气工程及其自动化,D291嘉兴南湖学院,2,165420
15电气工程及其自动化,B393昆明学院,2,166344
B2农业电气化,A223黑龙江八一农垦大学,2,167386
M4电气工程及其自动化(中外合作办学),A333常熟理工学院,2,167580
1K轨道交通电气与控制,B510山东交通学院,41,168938
0P建筑电气与智能化,B104华北科技学院,10,170671
66农业电气化,A129内蒙古农业大学,3,174118
0F电气工程及其自动化,B807兰州工业学院,3,174128
25电气工程及其自动化,A798河北科技师范学院,5,174535
11电气工程及其自动化,A483商丘师范学院,2,174849
10建筑电气与智能化,A084河北建筑工程学院,6,176647
37电气工程及其自动化(中外合作办学),A191吉林建筑大学,3,179514
4E电气工程及其自动化,A758新疆农业大学,10,179681
4J电气工程及其自动化(中外合作办学),B726长春大学,5,179815
31电气工程及其自动化,A381淮南师范学院,2,181355
2B电气工程及其自动化,A449滨州学院,42,182048
11电气工程及其自动化,A479安阳师范学院,2,187263
39电气工程及其自动化,A721宝鸡文理学院,5,188447
1Z电气工程及其自动化,A448德州学院,75,188934
1S建筑电气与智能化,A234哈尔滨学院,2,189516
0G电气工程及其自动化,A455菏泽学院,22,189641
57电气工程及其自动化(中外合作办学),A148辽宁石油化工大学,10,189856
1G电气工程及其自动化,A454济宁学院,35,191750
53电气工程及其自动化,A233牡丹江师范学院,2,193126
01电气工程及自动化,F203河北科技工程职业技术大学,3,194061
03电气工程及其自动化,A904枣庄学院,34,194371
69电气工程及其自动化(中外合作办学),B342湖南工程学院,2,196513
22电气工程及其自动化,A478周口师范学院,2,197203
0Y电气工程及其自动化,B033唐山学院,5,197803
04电气工程及其自动化(智能输配电方向),B765河南城建学院,5,197819
0F电气工程及其自动化,E435营口理工学院,3,198103
03电气工程及其自动化,D434赣南科技学院,2,199680
07电气工程及其自动化,D597山西科技学院,3,200575
21电气工程及其自动化,D534山西工学院,4,200802
0L电气工程及其自动化,B071新乡学院,4,200883
0H电气工程及其自动化,D386山东石油化工学院,79,200917
08电气工程及其自动化,D654南京理工大学紫金学院,2,201835
18电气工程及其自动化,A919平顶山学院,5,201912
38电气工程及其自动化,A757塔里木大学,15,201989
0D电气工程及其自动化,E527山西工程技术学院,1,202002
04电气工程及自动化,F202河北石油职业技术大学,4,202140
G2电气工程及其自动化,A687红河学院,2,202508
46电气工程及其自动化(非师范),A753宁夏师范学院,4,202558
06电气工程及其自动化,C689东南大学成贤学院,3,203218
03电气工程及其自动化,B445黑龙江工业学院,5,203752
0G电气工程及自动化,F209兰州石化职业技术大学,2,204779
18电气工程及其自动化,B546广西科技师范学院,2,205042
W1电气工程及其自动化(中外合作办学),B053徐州工程学院,3,206520
0V电气工程及其自动化(中外合作办学)(中韩合作),A451鲁东大学,110,207069
56建筑电气与智能化,A483商丘师范学院,3,207339
19电气工程及其自动化,A994新疆工程学院,4,208145
41电气工程及其自动化,E042西安科技大学高新学院,3,208324
0N电气工程及其自动化,B838贺州学院,4,208398
31电气工程及其自动化,A605河池学院,3,208454
Z5建筑电气与智能化(电气智能控制),A478周口师范学院,2,209342
W1电气工程及其自动化,A764伊犁师范大学,5,209486
0Y船舶电子电气工程(校企合作，与山东东弘国际船员有限公司合作),B510山东交通学院,40,210117
3F电气工程及其自动化,A763喀什大学,20,210586
0H电气工程及其自动化,A236绥化学院,4,210666
12电气工程及其自动化,D989南京邮电大学通达学院,2,214451
E1电气工程及其自动化,D558新疆理工学院,5,214999
73电气工程及其自动化(中外合作办学),B437长春工程学院,10,215593
64电气工程及其自动化(中外合作办学),B653南阳理工学院,2,215877
1Q电气工程及其自动化,A693西藏农牧学院,4,216091
10电气工程及其自动化(校企合作，与鼎利卓远教育科技有限公司合作),E439山东农业工程学院,80,216278
15电气工程及其自动化,D469厦门大学嘉庚学院,3,217843
07电气工程及其自动化,D578河北工程大学科信学院,2,218096
2A电气工程及其自动化,D198大连理工大学城市学院,2,219282
1N电气工程及其自动化(中外合作办学),B510山东交通学院,60,219904
15电气工程及其自动化,D986江苏大学京江学院,2,219950
6C电气工程及其自动化,D906南京师范大学中北学院,3,220307
07电气工程及其自动化,D593石家庄铁道大学四方学院,15,220442
26电气工程及其自动化,D987扬州大学广陵学院,3,220565
11电气工程及其自动化,D262文华学院,2,221369
11电气工程及其自动化,D842南京理工大学泰州科技学院,5,222528
1R农业电气化,A693西藏农牧学院,4,222901
0D电气工程及其自动化,E001聊城大学东昌学院,22,223471
07电气工程及其自动化,D248湖北汽车工业学院科技学院,1,223515
03电气工程及其自动化(电力系统及其自动化方向),D897天津理工大学中环信息学院,1,223540
2D电气工程及其自动化(中外合作办学),A204吉林工程技术师范学院,5,224284
0Z电气工程及其自动化(中外合作办学),E440贵州理工学院,6,224535
12电气工程及其自动化,D635长沙理工大学城南学院,4,224548
16电气工程及其自动化,D668成都理工大学工程技术学院,3,224990
0A电气工程及其自动化,C544宁夏理工学院,4,225190
12电气工程与智能控制,D842南京理工大学泰州科技学院,5,225314
0D电气工程及其自动化,D579中国矿业大学徐海学院,8,225646
04电气工程与智能控制,D897天津理工大学中环信息学院,1,225660
05电气工程及其自动化(含电力系统、输电线路工程方向),D236三峡大学科技学院,5,226316
Z1电气工程及其自动化(中外合作办学),B396商洛学院,2,227212
01电气工程及其自动化,D605长春建筑学院,4,228543
0K电气工程及其自动化,C332烟台南山学院,25,229864
15电气工程及其自动化,D677西安交通大学城市学院,8,230185
0B电气工程及其自动化,C843潍坊科技学院,59,230192
0D电气工程及其自动化,D235武汉城市学院,1,230255
0E电气工程及其自动化,E002烟台科技学院,30,230308
06电气工程及其自动化,D238湖北工业大学工程技术学院,5,230791
43电气工程及其自动化,E202沧州交通学院,4,231049
33电气工程及其自动化,D681陕西科技大学镐京学院,2,232734
20电气工程及其自动化,D679西安建筑科技大学华清学院,3,233426
0F电气工程及其自动化,D997青岛农业大学海都学院,101,233556
05电气工程及其自动化,D820银川能源学院,3,235103
04电气工程及其自动化,D569西安交通工程学院,4,235116
08电气工程及其自动化,E038天津仁爱学院,2,235622
07电气工程及其自动化,D601长春工业大学人文信息学院,1,235765
06电气工程及其自动化,D613安徽信息工程学院,5,238056
0C电气工程及其自动化,D614马鞍山学院,5,238721
21电气工程及其自动化,D894西安明德理工学院,2,239756
18电气工程及其自动化,D431南昌交通学院,5,240106
12电气工程及其自动化,D421南昌工学院,2,241067
13电气工程及其自动化,D514兰州博文科技学院,2,241318
0A电气工程及其自动化,D324山东协和学院,43,246543
30电气工程及其自动化,C619广州南方学院,7,249011
0V电气工程及其自动化,D998齐鲁理工学院,57,249740
0U电气工程及其自动化,D857山东华宇工学院,60,251086
15电气工程及其自动化,A868青岛滨海学院,85,255667
02电气工程及其自动化,C729齐齐哈尔工程学院,11,255766
27电气工程及其自动化,D600长春光华学院,5,256388
0Y电气工程及其自动化,D995青岛工学院,56,262340
0R电气工程及其自动化,D624泰山科技学院,91,264854
0F电气工程及其自动化,D378青岛城市学院,94,264981
0N电气工程及其自动化,D006山东英才学院,25,266510
0S电气工程及其自动化,D320青岛黄海学院,92,269291
20电气工程及其自动化,D015青岛恒星科技学院,42,272216
07电气工程及其自动化(校企合作，与青岛国合对外经济技术合作),D015青岛恒星科技学院,46,274110
0W电气工程及其自动化,E430中国科学院大学,1,195
1C自动化(钱学森班本硕博),A698西安交通大学,3,1076
0U自动化类,A487华中科技大学,11,1621
2B工科试验班(智能技术与自动化专业预选),A698西安交通大学,4,1747
08工科试验班(航天与自动化),A213哈尔滨工业大学,30,3102
04自动化类,P002国防科技大学,13,4131
0M自动化类(智能机器人与智慧物流),A013北京邮电大学,2,4612
19自动化类,A561华南理工大学,4,4955
43机械设计制造及其自动化(创新班),A141大连理工大学,4,5180
Q7自动化类,A699西北工业大学,12,5681
08电子信息类(电信、自动化与计算机新工科实验班),A141大连理工大学,24,6327
Y1自动化类,A422山东大学,80,8022
5B自动化,A532湖南大学,3,8473
42机械设计制造及其自动化(日语强化),A141大连理工大学,4,8701
74自动化类,A183吉林大学,6,10181
08自动化类,A008北京科技大学,17,10518
10自动化,A287南京航空航天大学,10,10875
03自动化类(智能制造及智能测控),A701西安电子科技大学,39,11442
1P自动化类,A145东北大学,15,11835
3G自动化类,A288南京理工大学,18,11893
10自动化类,H213哈尔滨工业大学(威海),61,11924
0X自动化类(自动化),A054华北电力大学(北京),5,11989
0A自动化类(测控),A054华北电力大学(北京),2,12541
01机械设计制造及其自动化,H213哈尔滨工业大学(威海),32,12567
31自动化,A423中国海洋大学,21,12771
38自动化,A590深圳大学,3,13068
0B自动化类,H422山东大学威海分校,67,13678
30机械设计制造及其自动化,A423中国海洋大学,18,14088
10自动化类(威海走读),Y011山东大学威海分校,3,14492
F3自动化,A294河海大学,3,14776
Y2自动化(常州校区),A294河海大学,2,15122
13自动化,A613西南交通大学,4,15152
18自动化类,A497武汉理工大学,28,16200
07自动化类,H145东北大学秦皇岛分校,11,16351
23自动化,B414中国石油大学(北京),6,16578
0Y自动化类(自动化),A079华北电力大学(保定),7,17226
9S农业机械化及其自动化,A183吉林大学,1,17250
04机械设计制造及其自动化,A497武汉理工大学,13,17394
19自动化,A080河北工业大学,2,17720
1E自动化类(高端装备与智能制造),A010北京化工大学,30,17798
33自动化,A022北京林业大学,3,17812
87机械设计制造及其自动化(中外合作办学),A610四川大学,4,18044
10自动化类(测控),A079华北电力大学(保定),4,18116
01自动化,A359合肥工业大学,10,18612
37自动化,A425中国石油大学(华东),24,18702
32自动化,A295江南大学,13,18781
48机械设计制造及其自动化,B415中国地质大学(北京),2,19157
D6网络工程(全国人防指挥自动化技术工程师),P004陆军工程大学,1,19172
04自动化类,A217哈尔滨工程大学,31,19223
0F自动化,A293南京邮电大学,7,19300
23机械设计制造及其自动化(中外合作办学),A611重庆大学,3,19925
31机械设计制造及其自动化,A022北京林业大学,5,20599
32自动化类,A459郑州大学,20,21255
6B自动化,A403南昌大学,3,22027
3B自动化类,A491中国地质大学(武汉),13,22077
95机械设计制造及其自动化,A386福州大学,2,22353
08自动化,A336杭州电子科技大学,9,23151
12自动化类,A710长安大学,12,23428
0C自动化,A112太原理工大学,8,23582
16机械设计制造及其自动化(中外合作办学),H422山东大学威海分校,37,23717
59机械设计制造及其自动化(中外合作办学),A141大连理工大学,5,23796
Z4自动化类,A151大连海事大学,29,24132
41自动化,A256上海电力大学,3,25369
Z4自动化,A216燕山大学,2,25371
60机械设计制造及其自动化,A403南昌大学,5,25639
Z1机械设计制造及其自动化,A216燕山大学,2,25738
T9机械设计制造及其自动化,A542湖南师范大学,2,25775
01机械设计制造及其自动化,A112太原理工大学,8,26206
53农业机械化及其自动化,A712西北农林科技大学,4,26530
25自动化,A058天津工业大学,6,27365
1D自动化,A589海南大学,5,27590
46机械设计制造及其自动化,A299江苏大学,5,28729
37机械设计制造及其自动化(国际贸易班),B646宁波大学,2,28976
1Q自动化(创新实验班),A009北方工业大学,1,29535
9V机械设计制造及其自动化,A657贵州大学,3,29971
1N机械设计制造及其自动化(创新实验班),A009北方工业大学,3,30054
05自动化,A298南京林业大学,4,30127
1G机械设计制造及其自动化,A589海南大学,3,30149
20农业机械化及其自动化(本硕博班),A224东北农业大学,3,30604
0V自动化(中外合作办学),A217哈尔滨工程大学,4,30709
B3自动化,A060天津理工大学,5,31591
0A自动化,B232北京信息科技大学,3,31971
75自动化,A530湘潭大学,4,32136
54自动化,A108山西大学,2,32154
03自动化类,A488武汉科技大学,13,32330
2A农业机械化及其自动化,A657贵州大学,2,32874
01机械设计制造及其自动化,A298南京林业大学,4,32955
06自动化类,B845广东工业大学,4,33034
41自动化(建筑智能控制与机器人),A016北京建筑大学,1,33172
34自动化,A536长沙理工大学,2,33310
14自动化类,A700西安理工大学,6,33790
0R机械设计制造及其自动化(中外合作办学),A217哈尔滨工程大学,4,34331
28自动化类,A615西南石油大学,7,34658
16自动化,A704西安科技大学,2,34715
XV自动化,B664西安邮电大学,3,34846
01自动化类,A356中国计量大学,6,34915
66机械设计制造及其自动化,A530湘潭大学,5,35036
54机械设计制造及其自动化(中外合作办学),A613西南交通大学,5,35096
Z3自动化(中外合作办学),A635西南大学,7,35425
39自动化(中外合作办学),A336杭州电子科技大学,6,35701
0H机械设计制造及其自动化,A143沈阳航空航天大学,2,36131
20自动化,A289江苏科技大学,5,36142
06机械设计制造及其自动化,A700西安理工大学,7,36925
91自动化(中外合作办学),A386福州大学,5,37593
17机械设计制造及其自动化,A564华南农业大学,1,37657
11机械设计制造及其自动化,A560汕头大学,2,37753
04自动化,A057天津科技大学,4,38278
09农业机械化及其自动化,A626四川农业大学,4,38518
01机械设计制造及其自动化,B232北京信息科技大学,7,38595
03自动化,E655深圳技术大学,2,38724
35自动化,A188东北电力大学,11,38945
11机械设计制造及其自动化,A615西南石油大学,3,39905
6U自动化,A755新疆大学,8,39990
20机械设计制造及其自动化,A332苏州科技大学,2,40452
01机械设计制造及其自动化,E655深圳技术大学,3,40613
