专业代号及名称,院校代号及名称,投档计划数,投档最低位次
64建筑环境与能源应用工程,B035沈阳大学,3,131496
11新能源材料与器件,A451鲁东大学,62,132678
34建筑环境与能源应用工程,A220东北石油大学,3,133571
1N建筑环境与能源应用工程,A094河北师范大学,6,133681
19能源与动力工程,A676云南农业大学,1,134098
36能源与动力工程,A148辽宁石油化工大学,2,134206
D7能源化学工程,A149沈阳化工大学,2,134429
1D新能源科学与工程,A128内蒙古工业大学,2,134552
30能源与动力工程,A127内蒙古科技大学,1,137809
0V建筑环境与能源应用工程,A076河北工程大学,2,139833
1C建筑环境与能源应用工程,A430山东建筑大学,70,140455
16新能源科学与工程(济南走读),Y015山东建筑大学,10,142743
14能源化学工程,B607北部湾大学,1,145856
12建筑环境与能源应用工程(济南走读),Y015山东建筑大学,15,149939
2J能源与动力工程(济南走读),Y015山东建筑大学,15,150664
1Q建筑环境与能源应用工程,A676云南农业大学,1,154140
64能源与动力工程(中外合作办学)(热动),A078华北水利水电大学,5,154499
28建筑环境与能源应用工程(地方专项计划),A430山东建筑大学,20,156124
G0新能源科学与工程,A129内蒙古农业大学,3,156541
48建筑环境与能源应用工程,A354嘉兴学院,4,156565
06能源与动力工程,A408景德镇陶瓷大学,2,157745
1J新能源材料与器件,A452临沂大学,46,158225
0D建筑环境与能源应用工程,A435青岛农业大学,70,160717
2X建筑环境与能源应用工程,A452临沂大学,22,161733
0G能源与动力工程,C105天津中德应用技术大学,6,162104
0D新能源材料与器件,A447聊城大学,60,165318
30新能源科学与工程,B437长春工程学院,2,167247
1J建筑环境与能源应用工程,A128内蒙古工业大学,4,168659
0W能源与动力工程,B510山东交通学院,34,168959
1S新能源材料与器件(地方专项计划),A447聊城大学,10,170967
29能源与动力工程,B437长春工程学院,4,171939
0T新能源材料与器件,A879安徽科技学院,4,173367
45新能源科学与工程,B656广东石油化工学院,3,173829
23能源与动力工程,B825桂林航天工业学院,3,173850
09建筑环境与能源应用工程,A191吉林建筑大学,13,174691
05新能源材料与器件,A408景德镇陶瓷大学,2,177990
14新能源科学与工程,A483商丘师范学院,3,180256
12能源与动力工程,A748青海民族大学,4,180430
10能源与动力工程,A448德州学院,20,182289
28建筑环境与能源应用工程,B629北华航天工业学院,2,182576
03能源化学工程,B656广东石油化工学院,3,182710
C2能源与动力工程(中外合作办学),A149沈阳化工大学,3,184435
32能源与动力工程,A547邵阳学院,3,185506
05能源与动力工程,A192吉林化工学院,3,186057
26建筑环境与能源应用工程,A388福建工程学院,9,186171
23能源动力类,A084河北建筑工程学院,6,186416
08能源与动力工程,M189山西能源学院,3,188618
1B新能源科学与工程,B508新余学院,2,190688
35新能源材料与器件,B653南阳理工学院,4,191083
28建筑环境与能源应用工程,B437长春工程学院,2,193151
0E新能源科学与工程,E435营口理工学院,2,193599
22新能源汽车工程,B825桂林航天工业学院,2,193982
1P新能源科学与工程,A454济宁学院,100,195253
1F新能源科学与工程,B395榆林学院,2,195980
1A新能源材料与器件,B508新余学院,2,197581
0A新能源科学与工程,D386山东石油化工学院,60,198263
31建筑环境与能源应用工程,B070洛阳理工学院,4,198618
19能源与动力工程,B765河南城建学院,4,198895
0H建筑环境与能源应用工程,B517河南工程学院,3,201634
21建筑环境与能源应用工程,B527湖南城市学院,2,201883
0X建筑环境与能源应用工程,B802黑龙江工程学院,2,202008
08建筑环境与能源应用工程,B765河南城建学院,5,205388
24建筑环境与能源应用工程,B825桂林航天工业学院,2,205485
0L能源化学工程(校企合作，与山东东明石化集团公司合作),A455菏泽学院,50,205633
0F能源动力类,D386山东石油化工学院,226,206923
0T建筑环境与能源应用工程,B807兰州工业学院,3,208055
33能源经济,A994新疆工程学院,4,208261
32新能源材料与器件,D534山西工学院,3,208313
46能源与动力工程,A740河西学院,2,208400
22能源与动力工程,D534山西工学院,4,209161
25能源互联网工程,D534山西工学院,2,209621
BX能源与动力工程,A997昌吉学院,15,209761
09建筑环境与能源应用工程,B242太原学院,4,209828
0K建筑环境与能源应用工程,D386山东石油化工学院,52,210470
21新能源科学与工程,A918黄淮学院,25,210503
91建筑环境与能源应用工程,D534山西工学院,2,210638
0L能源与动力工程,A977六盘水师范学院,2,210642
17能源与环境系统工程,M189山西能源学院,3,210899
13新能源汽车工程技术,F202河北石油职业技术大学,4,211173
R1能源化学工程,D558新疆理工学院,23,211442
1H建筑环境与能源应用工程,B395榆林学院,3,211947
4W新能源科学与工程,A123运城学院,10,212151
59能源与动力工程,D986江苏大学京江学院,4,213092
55新能源汽车工程,A918黄淮学院,15,213185
12新能源汽车工程技术,F203河北科技工程职业技术大学,3,213277
74能源与动力工程(中外合作办学),B437长春工程学院,7,213483
06能源与动力工程,D578河北工程大学科信学院,3,213876
1K能源与动力工程,A693西藏农牧学院,4,215839
07建筑环境与能源工程,F201山西工程科技职业大学,4,217006
63能源与动力工程,E202沧州交通学院,4,217661
06建筑环境与能源工程,F202河北石油职业技术大学,4,217871
22新能源科学与工程,A994新疆工程学院,8,218352
03建筑环境与能源应用工程(供热、供燃气),A138赤峰学院,10,220133
24建筑环境与能源应用工程,A994新疆工程学院,4,221299
08新能源科学与工程,C779山西应用科技学院,10,222193
05新能源汽车工程,D601长春工业大学人文信息学院,1,222609
0D建筑环境与能源应用工程,D578河北工程大学科信学院,2,222773
S1能源服务工程,D558新疆理工学院,10,226087
0Q能源与动力工程(中外合作办学),A448德州学院,120,226327
24建筑环境与能源应用工程,D905南京工业大学浦江学院,2,227259
15能源与动力工程(新能源),D262文华学院,2,232369
15建筑环境与能源应用工程,D679西安建筑科技大学华清学院,3,237826
03新能源汽车工程,D816四川工业科技学院,3,240097
0R能源与动力工程,D857山东华宇工学院,150,240365
0F新能源科学与工程,E000潍坊理工学院,40,243405
14建筑环境与能源应用工程,D605长春建筑学院,4,246512
0P能源与动力工程,E000潍坊理工学院,80,247195
BD新能源汽车工程技术,D727新疆天山职业技术大学,8,247723
05新能源汽车工程技术,D738西安汽车职业大学,2,248065
21新能源汽车工程,C802吉利学院,2,249616
0K能源与动力工程,D995青岛工学院,26,252129
04新能源汽车工程技术,E172海南科技职业大学,4,260637
06新能源科学与工程,D857山东华宇工学院,85,264857
0X建筑环境与能源应用工程,A868青岛滨海学院,36,271471
0B建筑环境与能源应用工程,D857山东华宇工学院,60,272056
