专业代号及名称,院校代号及名称,投档计划数,投档最低位次
22电子信息工程(中外合作办学),B062厦门理工学院,6,112461
08电子信息工程,D982无锡学院,2,112851
F1电子信息类,A203吉林师范大学,2,113041
25电子信息工程,A679大理大学,2,113076
63电子信息工程,A638西华师范大学,4,113562
2L电子商务,A531吉首大学,2,114679
45电子信息工程,A741兰州财经大学,3,114820
0D电子信息类,B532湖南财政经济学院,3,115080
1C电子商务,A741兰州财经大学,2,115388
66电子信息工程,A622四川轻化工大学,2,116310
75电子信息工程,A418赣南师范大学,3,116843
2P电子信息工程,A430山东建筑大学,51,116849
2A电子信息科学与技术,A434山东农业大学,44,117071
08电子科学与技术,B058宁波工程学院,3,117274
43电子商务,A240哈尔滨商业大学,6,118786
55电子商务,B080西安文理学院,2,120315
16电子信息工程,A166沈阳师范大学,5,120651
0E电子商务类(济南走读),Y014山东财经大学,50,120892
0Z电子信息工程,A157沈阳农业大学,3,121962
43电子商务,A190长春工业大学,4,122356
23电子信息类,A349绍兴文理学院,5,123114
12电子信息工程,A219黑龙江科技大学,2,124479
0H电子信息工程,A879安徽科技学院,1,124529
09电子科学与技术,D982无锡学院,2,126454
2Y电子信息工程,A435青岛农业大学,70,126696
P3电子信息工程,A201北华大学,7,127090
24电子信息工程,A408景德镇陶瓷大学,1,127608
76电子科学与技术,A418赣南师范大学,2,128083
1X机械电子工程(地方专项计划),A433山东理工大学,10,128198
1Z电子商务,A430山东建筑大学,60,128485
14电子信息类,B116成都工业学院,2,129327
11电子竞技运动与管理,A431齐鲁工业大学,20,129535
16电子信息工程,B077长沙学院,2,129816
2K机械电子工程,A433山东理工大学,89,129896
13电子信息科学与技术,A219黑龙江科技大学,2,130029
0J电子商务,A435青岛农业大学,76,130522
0T电子商务,B833上海杉达学院,1,130694
81机械电子工程,Y000哈尔滨理工大学,36,131371
56电子信息科学与技术,A113山西农业大学,2,132078
44电子商务,B407北方民族大学,1,132731
17电子信息工程,B629北华航天工业学院,2,132794
23电子商务,A676云南农业大学,1,133103
12电子信息类,A439山东第一医科大学,105,133419
3N电子信息工程,A447聊城大学,63,133578
02机械电子工程,A430山东建筑大学,80,133760
0W电子信息工程,A677西南林业大学,3,133807
11电子商务(中外合作办学),A207吉林财经大学,3,133814
0J电子信息科学与技术,A193吉林农业大学,2,133865
07电子商务,A395闽江学院,1,134446
07电子信息工程,A128内蒙古工业大学,3,135442
G1电子商务,A410江西农业大学,2,135767
2W电子信息工程,A452临沂大学,45,135866
19微电子科学与工程,B629北华航天工业学院,2,135954
L3电子信息类,A528湖北工程学院,1,136084
A7电子科学与技术(中外合作办学),A186长春理工大学,8,138447
2D电子科学与技术(中外合作办学),A320江苏师范大学,4,138544
73电子信息工程,A347湖州师范学院,1,138715
0U电子信息工程,B607北部湾大学,2,138864
F4电子科学与技术(中外合作办学),A407江西理工大学,2,138963
11电子信息类(地方专项计划),A439山东第一医科大学,20,140898
0P机械电子工程,A677西南林业大学,3,142112
34电子信息类,A232齐齐哈尔大学,2,142135
03电子信息类,B407北方民族大学,2,142261
25电子科学与技术,A408景德镇陶瓷大学,1,142495
0N电子商务,B688山东工商学院,26,143394
2S电子信息类,A642重庆文理学院,2,143601
2D电子商务,A452临沂大学,30,143793
06机械电子工程,A219黑龙江科技大学,3,144155
17机械电子工程,A676云南农业大学,1,144473
24电子信息工程,C034湖南第一师范学院,4,144541
28电子信息工程,A191吉林建筑大学,4,144842
1H电子信息类,A647长江师范学院,2,145192
28电子信息工程,A603南宁师范大学,3,145295
1C微电子科学与工程(校企合作，与青软创新科技集团合作),A433山东理工大学,40,146656
29电子信息科学与技术,A191吉林建筑大学,5,146889
18电子信息类,A485郑州航空工业管理学院,2,146954
0S电子信息类,A372安庆师范大学,10,147244
0X电子商务,B319南昌工程学院,2,147616
0V机械电子工程(济南走读),Y015山东建筑大学,10,147824
38机械电子工程(中外合作办学),A152大连工业大学,5,147849
08机械电子工程,B629北华航天工业学院,2,148890
09电子信息类,D675北京理工大学珠海学院,2,149003
74电子信息工程,A746青海师范大学,3,149112
1B电子信息工程,A608广西民族大学,3,150924
12电子信息科学与技术,A371阜阳师范大学,5,151547
0F电子信息工程,A551湖南科技学院,2,152487
18电子信息工程,A350台州学院,5,153431
J8电子商务(嵌入式培养),A324盐城师范学院,2,154434
25电子信息工程,B342湖南工程学院,2,155837
24机械电子工程,A447聊城大学,70,155878
42电子信息科学与技术,A546衡阳师范学院,1,156210
04电子商务,A546衡阳师范学院,1,156267
2L机械电子工程(中外合作办学),A361安徽理工大学,4,156412
13电子商务,Y004青岛理工大学,175,156746
09电子商务,E437南昌师范学院,1,157638
11电子信息工程,B053徐州工程学院,10,157958
42机械电子工程,B049淮阴工学院,2,158151
L1电子信息类,A742西北民族大学,6,158570
2V交通运输(航空电子方向),A128内蒙古工业大学,3,159723
0T电子信息工程,B510山东交通学院,42,160092
G3电子信息工程,A223黑龙江八一农垦大学,2,160178
09电子信息工程,A084河北建筑工程学院,2,160394
10电子商务,A245哈尔滨金融学院,2,160479
02机械电子工程,C105天津中德应用技术大学,6,160573
F0电子科学与技术,A129内蒙古农业大学,6,160659
3B电子信息工程(校企合作，与青岛英谷教育科技公司合作),A435青岛农业大学,80,161916
40电子商务,B629北华航天工业学院,2,162131
62电子信息工程,A546衡阳师范学院,1,163867
23机械电子工程,A408景德镇陶瓷大学,1,164833
39机械电子工程,A350台州学院,4,165593
0J电子信息工程,B688山东工商学院,62,169387
21电子信息工程,E437南昌师范学院,2,170084
0T电子信息工程,E276齐鲁师范学院,95,170417
1R跨境电子商务,A551湖南科技学院,2,170474
1M电子信息工程,A234哈尔滨学院,2,172707
1E电子信息科学与技术(校企合作，与健康力北京医疗科技合作),A439山东第一医科大学,50,172892
12电子科学与技术,B067潍坊学院,37,174210
38电子商务(校企合作，与深圳市盘古帮帮孵化科技合作),A452临沂大学,100,174373
07电子信息工程,B653南阳理工学院,4,175531
14电子商务,B652河南财政金融学院,2,175927
38机械电子工程,A084河北建筑工程学院,3,175941
33电子商务,A483商丘师范学院,2,175950
04电子信息工程,C649湖南科技大学潇湘学院,1,176399
51机械电子工程,A549湖南文理学院,2,176811
11电子信息工程,A192吉林化工学院,3,176996
1M机械电子工程,B510山东交通学院,36,177403
0J机械电子工程(校企合作，与青岛英谷教育科技公司合作),A447聊城大学,20,177462
94电子信息科学与技术,A762新疆师范大学,12,177622
31电子商务,A766新疆财经大学,3,177738
1V电子信息工程(校企合作，与青软实训教育科技公司合作),A447聊城大学,160,177909
66电子信息工程,B527湖南城市学院,2,178050
46电子商务,A101衡水学院,2,179085
14电子商务,E438山东管理学院,32,179350
63电子信息工程(中外合作办学),A513湖北师范大学,12,179402
33电子信息类,A514黄冈师范学院,5,179687
26电子信息工程,A798河北科技师范学院,5,179731
04电子科学与技术,C689东南大学成贤学院,1,180576
4A电子信息工程(中外合作办学),B726长春大学,2,180644
41电子科学与技术,A721宝鸡文理学院,3,181114
03电子信息工程,B068郑州工程技术学院,3,181181
1G电子信息工程,B843九江学院,4,181769
17电子信息工程,B825桂林航天工业学院,3,181940
32电子商务,B261吉林工商学院,2,182221
FZ电子信息工程(中外合作办学),A203吉林师范大学,4,182872
12电子信息工程,A483商丘师范学院,2,183018
1T电子信息工程,A449滨州学院,30,183119
15电子商务,B100海南热带海洋学院,3,183214
58电子信息类,B100海南热带海洋学院,2,183597
4Q电子信息科学与技术,A758新疆农业大学,5,183884
24电子信息科学与技术,A976贵阳学院,2,184337
0M电子商务,B963亳州学院,3,184407
32电子信息工程,A381淮南师范学院,2,184853
3F电子商务,B508新余学院,1,185102
28电子信息科学与技术,A548怀化学院,3,185360
35电子信息工程,B656广东石油化工学院,3,186254
05电子信息工程,C689东南大学成贤学院,1,186445
0K机械电子工程(校企合作，与山东临工工程机械有限公司合作),A452临沂大学,100,187229
04跨境电子商务,E623滇西应用技术大学,2,187792
D1电子商务,A480许昌学院,10,187899
29电子商务,A478周口师范学院,4,188378
0N电子信息工程,E438山东管理学院,67,188571
